"region","time","date","period","b1"
"Brazos County, TX",0,2020-02-10,"baseline",0.21
"Brazos County, TX",1,2020-02-11,"baseline",0.21
"Brazos County, TX",2,2020-02-12,"baseline",0.21
"Brazos County, TX",3,2020-02-13,"baseline",0.21
"Brazos County, TX",4,2020-02-14,"baseline",0.21
"Brazos County, TX",5,2020-02-15,"baseline",0.21
"Brazos County, TX",6,2020-02-16,"baseline",0.21
"Brazos County, TX",7,2020-02-17,"baseline",0.21
"Brazos County, TX",8,2020-02-18,"baseline",0.21
"Brazos County, TX",9,2020-02-19,"baseline",0.21
"Brazos County, TX",10,2020-02-20,"baseline",0.21
"Brazos County, TX",11,2020-02-21,"baseline",0.21
"Brazos County, TX",12,2020-02-22,"baseline",0.21
"Brazos County, TX",13,2020-02-23,"baseline",0.21
"Brazos County, TX",14,2020-02-24,"baseline",0.21
"Brazos County, TX",15,2020-02-25,"baseline",0.21
"Brazos County, TX",16,2020-02-26,"baseline",0.21
"Brazos County, TX",17,2020-02-27,"baseline",0.21
"Brazos County, TX",18,2020-02-28,"baseline",0.21
"Brazos County, TX",19,2020-02-29,"baseline",0.21
"Brazos County, TX",20,2020-03-01,"baseline",0.21
"Brazos County, TX",21,2020-03-02,"baseline",0.21
"Brazos County, TX",22,2020-03-03,"baseline",0.21
"Brazos County, TX",23,2020-03-04,"baseline",0.21
"Brazos County, TX",24,2020-03-05,"baseline",0.21
"Brazos County, TX",25,2020-03-06,"baseline",0.21
"Brazos County, TX",26,2020-03-07,"baseline",0.21
"Brazos County, TX",27,2020-03-08,"baseline",0.21
"Brazos County, TX",28,2020-03-09,"baseline",0.21
"Brazos County, TX",29,2020-03-10,"baseline",0.21
"Brazos County, TX",30,2020-03-11,"baseline",0.21
"Brazos County, TX",31,2020-03-12,"baseline",0.21
"Brazos County, TX",32,2020-03-13,"baseline",0.21
"Brazos County, TX",33,2020-03-14,"baseline",0.21
"Brazos County, TX",34,2020-03-15,"baseline",0.21
"Brazos County, TX",35,2020-03-16,"baseline",0.21
"Brazos County, TX",36,2020-03-17,"baseline",0.21
"Brazos County, TX",37,2020-03-18,"baseline",0.21
"Brazos County, TX",38,2020-03-19,"baseline",0.21
"Brazos County, TX",39,2020-03-20,"baseline",0.21
"Brazos County, TX",39,2020-03-20,"step1",0.11
"Brazos County, TX",40,2020-03-21,"step1",0.11
"Brazos County, TX",41,2020-03-22,"step1",0.11
"Brazos County, TX",41,2020-03-22,"step2",0.11
"Brazos County, TX",42,2020-03-23,"step2",0.11
"Brazos County, TX",43,2020-03-24,"step2",0.11
"Brazos County, TX",43,2020-03-24,"step3",0.12
"Brazos County, TX",44,2020-03-25,"step3",0.12
"Brazos County, TX",45,2020-03-26,"step3",0.12
"Brazos County, TX",45,2020-03-26,"step4",0.13
"Brazos County, TX",46,2020-03-27,"step4",0.13
"Brazos County, TX",47,2020-03-28,"step4",0.13
"Brazos County, TX",47,2020-03-28,"step5",0.13
"Brazos County, TX",48,2020-03-29,"step5",0.13
"Brazos County, TX",49,2020-03-30,"step5",0.13
"Brazos County, TX",49,2020-03-30,"step6",0.12
"Brazos County, TX",50,2020-03-31,"step6",0.12
"Brazos County, TX",51,2020-04-01,"step6",0.12
"Brazos County, TX",51,2020-04-01,"step7",0.11
"Brazos County, TX",52,2020-04-02,"step7",0.11
"Brazos County, TX",53,2020-04-03,"step7",0.11
"Brazos County, TX",53,2020-04-03,"step8",0.08
"Brazos County, TX",54,2020-04-04,"step8",0.08
"Brazos County, TX",55,2020-04-05,"step8",0.08
"Brazos County, TX",55,2020-04-05,"step9",0.06
"Brazos County, TX",56,2020-04-06,"step9",0.06
"Brazos County, TX",57,2020-04-07,"step9",0.06
"Brazos County, TX",57,2020-04-07,"step10",0.04
"Brazos County, TX",58,2020-04-08,"step10",0.04
"Brazos County, TX",59,2020-04-09,"step10",0.04
"Brazos County, TX",59,2020-04-09,"step11",0.02
"Brazos County, TX",60,2020-04-10,"step11",0.02
"Brazos County, TX",61,2020-04-11,"step11",0.02
"Brazos County, TX",61,2020-04-11,"step12",0
"Brazos County, TX",62,2020-04-12,"step12",0
"Brazos County, TX",63,2020-04-13,"step12",0
"Brazos County, TX",63,2020-04-13,"step13",0
"Brazos County, TX",64,2020-04-14,"step13",0
"Brazos County, TX",65,2020-04-15,"step13",0
"Brazos County, TX",65,2020-04-15,"step14",0
"Brazos County, TX",66,2020-04-16,"step14",0
"Brazos County, TX",67,2020-04-17,"step14",0
"Brazos County, TX",67,2020-04-17,"step15",0
"Brazos County, TX",68,2020-04-18,"step15",0
"Brazos County, TX",69,2020-04-19,"step15",0
"Brazos County, TX",69,2020-04-19,"step16",0
"Brazos County, TX",70,2020-04-20,"step16",0
"Brazos County, TX",71,2020-04-21,"step16",0
"Brazos County, TX",71,2020-04-21,"step17",0
"Brazos County, TX",72,2020-04-22,"step17",0
"Brazos County, TX",73,2020-04-23,"step17",0
"Brazos County, TX",73,2020-04-23,"step18",0
"Brazos County, TX",74,2020-04-24,"step18",0
"Brazos County, TX",75,2020-04-25,"step18",0
"Brazos County, TX",75,2020-04-25,"step19",0
"Brazos County, TX",76,2020-04-26,"step19",0
"Brazos County, TX",77,2020-04-27,"step19",0
"Brazos County, TX",77,2020-04-27,"step20",0
"Brazos County, TX",78,2020-04-28,"step20",0
"Brazos County, TX",79,2020-04-29,"step20",0
"Brazos County, TX",79,2020-04-29,"step21",0
"Brazos County, TX",80,2020-04-30,"step21",0
"Brazos County, TX",81,2020-05-01,"step21",0
"Brazos County, TX",81,2020-05-01,"step22",1.33
"Brazos County, TX",82,2020-05-02,"step22",1.33
"Brazos County, TX",83,2020-05-03,"step22",1.33
"Brazos County, TX",83,2020-05-03,"step23",1.33
"Brazos County, TX",84,2020-05-04,"step23",1.33
"Brazos County, TX",85,2020-05-05,"step23",1.33
"Brazos County, TX",85,2020-05-05,"step24",1.33
"Brazos County, TX",86,2020-05-06,"step24",1.33
"Brazos County, TX",87,2020-05-07,"step24",1.33
"Brazos County, TX",87,2020-05-07,"step25",1.33
"Brazos County, TX",88,2020-05-08,"step25",1.33
"Brazos County, TX",89,2020-05-09,"step25",1.33
"Brazos County, TX",89,2020-05-09,"step26",1.3
"Brazos County, TX",90,2020-05-10,"step26",1.3
"Brazos County, TX",91,2020-05-11,"step26",1.3
