"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.7,0.35,2020-02-16,0.48,1,131.464748597187
0.71,0.35,2020-02-16,0.48,1,120.542750420318
0.72,0.35,2020-02-16,0.48,1,110.623296193714
0.73,0.35,2020-02-16,0.48,1,101.920833329411
0.74,0.35,2020-02-16,0.48,1,94.7412659074599
0.75,0.35,2020-02-16,0.48,1,89.4429185682389
0.76,0.35,2020-02-16,0.48,1,85.5646313994441
0.77,0.35,2020-02-16,0.48,1,81.8316676592992
0.78,0.35,2020-02-16,0.48,1,78.162623335103
0.79,0.35,2020-02-16,0.48,1,74.5565587945312
0.8,0.35,2020-02-16,0.48,1,71.0124935567793
0.81,0.35,2020-02-16,0.48,1,67.5296132001161
0.82,0.35,2020-02-16,0.48,1,64.106959262026
0.83,0.35,2020-02-16,0.48,1,60.7437111901527
0.84,0.35,2020-02-16,0.48,1,57.4390281045555
0.85,0.35,2020-02-16,0.48,1,54.1921991672123
0.86,0.35,2020-02-16,0.48,1,51.0022357677662
0.87,0.35,2020-02-16,0.48,1,47.8687549534335
0.88,0.35,2020-02-16,0.48,1,44.7908660752375
0.89,0.35,2020-02-16,0.48,1,41.76818486644
0.9,0.35,2020-02-16,0.48,1,38.8001249880484
0.91,0.35,2020-02-16,0.48,1,35.8863746346839
0.92,0.35,2020-02-16,0.48,1,33.0267511067916
0.93,0.35,2020-02-16,0.48,1,30.2212907707404
0.94,0.35,2020-02-16,0.48,1,27.4703015451763
0.95,0.35,2020-02-16,0.48,1,24.7747501249497
0.55,0.4,2020-02-16,0.48,1,366.835308965015
0.56,0.4,2020-02-16,0.48,1,347.859691722624
0.57,0.4,2020-02-16,0.48,1,329.314333361499
0.58,0.4,2020-02-16,0.48,1,311.2006999553
0.59,0.4,2020-02-16,0.48,1,293.524792226925
0.6,0.4,2020-02-16,0.48,1,276.288303141855
0.61,0.4,2020-02-16,0.48,1,259.500651485036
0.62,0.4,2020-02-16,0.48,1,243.17046625414
0.63,0.4,2020-02-16,0.48,1,227.309205255916
0.64,0.4,2020-02-16,0.48,1,211.931383394959
0.65,0.4,2020-02-16,0.48,1,197.05744571302
0.66,0.4,2020-02-16,0.48,1,182.712376567363
0.67,0.4,2020-02-16,0.48,1,168.92891012744
0.68,0.4,2020-02-16,0.48,1,155.751224514901
0.69,0.4,2020-02-16,0.48,1,143.236872074511
0.7,0.4,2020-02-16,0.48,1,131.464748597187
0.71,0.4,2020-02-16,0.48,1,120.542750420318
0.72,0.4,2020-02-16,0.48,1,110.623296193714
0.73,0.4,2020-02-16,0.48,1,101.920833329411
0.74,0.4,2020-02-16,0.48,1,94.7412659074599
0.75,0.4,2020-02-16,0.48,1,89.4429185682389
0.76,0.4,2020-02-16,0.48,1,85.5646313994441
0.77,0.4,2020-02-16,0.48,1,81.8316676592992
0.78,0.4,2020-02-16,0.48,1,78.162623335103
0.79,0.4,2020-02-16,0.48,1,74.5565587945312
0.8,0.4,2020-02-16,0.48,1,71.0124935567793
0.81,0.4,2020-02-16,0.48,1,67.5296132001161
0.82,0.4,2020-02-16,0.48,1,64.106959262026
0.83,0.4,2020-02-16,0.48,1,60.7437111901527
0.84,0.4,2020-02-16,0.48,1,57.4390281045555
0.85,0.4,2020-02-16,0.48,1,54.1921991672123
0.86,0.4,2020-02-16,0.48,1,51.0022357677662
0.87,0.4,2020-02-16,0.48,1,47.8687549534335
0.88,0.4,2020-02-16,0.48,1,44.7908660752375
0.89,0.4,2020-02-16,0.48,1,41.76818486644
0.9,0.4,2020-02-16,0.48,1,38.8001249880484
0.91,0.4,2020-02-16,0.48,1,35.8863746346839
0.92,0.4,2020-02-16,0.48,1,33.0267511067916
0.93,0.4,2020-02-16,0.48,1,30.2212907707404
0.94,0.4,2020-02-16,0.48,1,27.4703015451763
0.95,0.4,2020-02-16,0.48,1,24.7747501249497
0.55,0.45,2020-02-16,0.48,1,366.835308965015
0.56,0.45,2020-02-16,0.48,1,347.859691722624
0.57,0.45,2020-02-16,0.48,1,329.314333361499
0.58,0.45,2020-02-16,0.48,1,311.2006999553
0.59,0.45,2020-02-16,0.48,1,293.524792226925
0.6,0.45,2020-02-16,0.48,1,276.288303141855
0.61,0.45,2020-02-16,0.48,1,259.500651485036
0.62,0.45,2020-02-16,0.48,1,243.17046625414
0.63,0.45,2020-02-16,0.48,1,227.309205255916
0.64,0.45,2020-02-16,0.48,1,211.931383394959
0.65,0.45,2020-02-16,0.48,1,197.05744571302
0.66,0.45,2020-02-16,0.48,1,182.712376567363
0.67,0.45,2020-02-16,0.48,1,168.92891012744
0.68,0.45,2020-02-16,0.48,1,155.751224514901
0.69,0.45,2020-02-16,0.48,1,143.236872074511
0.7,0.45,2020-02-16,0.48,1,131.464748597187
0.71,0.45,2020-02-16,0.48,1,120.542750420318
0.72,0.45,2020-02-16,0.48,1,110.623296193714
0.73,0.45,2020-02-16,0.48,1,101.920833329411
0.74,0.45,2020-02-16,0.48,1,94.7412659074599
0.75,0.45,2020-02-16,0.48,1,89.4429185682389
0.76,0.45,2020-02-16,0.48,1,85.5646313994441
0.77,0.45,2020-02-16,0.48,1,81.8316676592992
0.78,0.45,2020-02-16,0.48,1,78.162623335103
0.79,0.45,2020-02-16,0.48,1,74.5565587945312
0.8,0.45,2020-02-16,0.48,1,71.0124935567793
0.81,0.45,2020-02-16,0.48,1,67.5296132001161
0.82,0.45,2020-02-16,0.48,1,64.106959262026
0.83,0.45,2020-02-16,0.48,1,60.7437111901527
0.84,0.45,2020-02-16,0.48,1,57.4390281045555
0.85,0.45,2020-02-16,0.48,1,54.1921991672123
0.86,0.45,2020-02-16,0.48,1,51.0022357677662
0.87,0.45,2020-02-16,0.48,1,47.8687549534335
0.88,0.45,2020-02-16,0.48,1,44.7908660752375
0.89,0.45,2020-02-16,0.48,1,41.76818486644
0.9,0.45,2020-02-16,0.48,1,38.8001249880484
0.91,0.45,2020-02-16,0.48,1,35.8863746346839
0.92,0.45,2020-02-16,0.48,1,33.0267511067916
0.93,0.45,2020-02-16,0.48,1,30.2212907707404
0.94,0.45,2020-02-16,0.48,1,27.4703015451763
0.95,0.45,2020-02-16,0.48,1,24.7747501249497
0.55,0.5,2020-02-16,0.48,1,366.835308965015
0.56,0.5,2020-02-16,0.48,1,347.859691722624
0.57,0.5,2020-02-16,0.48,1,329.314333361499
0.58,0.5,2020-02-16,0.48,1,311.2006999553
0.59,0.5,2020-02-16,0.48,1,293.524792226925
0.6,0.5,2020-02-16,0.48,1,276.288303141855
0.61,0.5,2020-02-16,0.48,1,259.500651485036
0.62,0.5,2020-02-16,0.48,1,243.17046625414
0.63,0.5,2020-02-16,0.48,1,227.309205255916
0.64,0.5,2020-02-16,0.48,1,211.931383394959
0.65,0.5,2020-02-16,0.48,1,197.05744571302
0.66,0.5,2020-02-16,0.48,1,182.712376567363
0.67,0.5,2020-02-16,0.48,1,168.92891012744
0.68,0.5,2020-02-16,0.48,1,155.751224514901
0.69,0.5,2020-02-16,0.48,1,143.236872074511
0.7,0.5,2020-02-16,0.48,1,131.464748597187
0.71,0.5,2020-02-16,0.48,1,120.542750420318
0.72,0.5,2020-02-16,0.48,1,110.623296193714
0.73,0.5,2020-02-16,0.48,1,101.920833329411
0.74,0.5,2020-02-16,0.48,1,94.7412659074599
0.75,0.5,2020-02-16,0.48,1,89.4429185682389
0.76,0.5,2020-02-16,0.48,1,85.5646313994441
0.77,0.5,2020-02-16,0.48,1,81.8316676592992
0.78,0.5,2020-02-16,0.48,1,78.162623335103
0.79,0.5,2020-02-16,0.48,1,74.5565587945312
0.8,0.5,2020-02-16,0.48,1,71.0124935567793
0.81,0.5,2020-02-16,0.48,1,67.5296132001161
0.82,0.5,2020-02-16,0.48,1,64.106959262026
0.83,0.5,2020-02-16,0.48,1,60.7437111901527
0.84,0.5,2020-02-16,0.48,1,57.4390281045555
0.85,0.5,2020-02-16,0.48,1,54.1921991672123
0.86,0.5,2020-02-16,0.48,1,51.0022357677662
0.87,0.5,2020-02-16,0.48,1,47.8687549534335
0.88,0.5,2020-02-16,0.48,1,44.7908660752375
0.89,0.5,2020-02-16,0.48,1,41.76818486644
0.9,0.5,2020-02-16,0.48,1,38.8001249880484
0.91,0.5,2020-02-16,0.48,1,35.8863746346839
0.92,0.5,2020-02-16,0.48,1,33.0267511067916
0.93,0.5,2020-02-16,0.48,1,30.2212907707404
0.94,0.5,2020-02-16,0.48,1,27.4703015451763
0.95,0.5,2020-02-16,0.48,1,24.7747501249497
0.55,0.55,2020-02-16,0.48,1,366.835308965015
0.56,0.55,2020-02-16,0.48,1,347.859691722624
0.57,0.55,2020-02-16,0.48,1,329.314333361499
0.58,0.55,2020-02-16,0.48,1,311.2006999553
0.59,0.55,2020-02-16,0.48,1,293.524792226925
0.6,0.55,2020-02-16,0.48,1,276.288303141855
0.61,0.55,2020-02-16,0.48,1,259.500651485036
0.62,0.55,2020-02-16,0.48,1,243.17046625414
0.63,0.55,2020-02-16,0.48,1,227.309205255916
0.64,0.55,2020-02-16,0.48,1,211.931383394959
0.65,0.55,2020-02-16,0.48,1,197.05744571302
0.66,0.55,2020-02-16,0.48,1,182.712376567363
0.67,0.55,2020-02-16,0.48,1,168.92891012744
0.68,0.55,2020-02-16,0.48,1,155.751224514901
0.69,0.55,2020-02-16,0.48,1,143.236872074511
0.7,0.55,2020-02-16,0.48,1,131.464748597187
0.71,0.55,2020-02-16,0.48,1,120.542750420318
0.72,0.55,2020-02-16,0.48,1,110.623296193714
0.73,0.55,2020-02-16,0.48,1,101.920833329411
0.74,0.55,2020-02-16,0.48,1,94.7412659074599
0.75,0.55,2020-02-16,0.48,1,89.4429185682389
0.76,0.55,2020-02-16,0.48,1,85.5646313994441
0.77,0.55,2020-02-16,0.48,1,81.8316676592992
0.78,0.55,2020-02-16,0.48,1,78.162623335103
0.79,0.55,2020-02-16,0.48,1,74.5565587945312
0.8,0.55,2020-02-16,0.48,1,71.0124935567793
0.81,0.55,2020-02-16,0.48,1,67.5296132001161
0.82,0.55,2020-02-16,0.48,1,64.106959262026
0.83,0.55,2020-02-16,0.48,1,60.7437111901527
0.84,0.55,2020-02-16,0.48,1,57.4390281045555
0.85,0.55,2020-02-16,0.48,1,54.1921991672123
0.86,0.55,2020-02-16,0.48,1,51.0022357677662
0.87,0.55,2020-02-16,0.48,1,47.8687549534335
0.88,0.55,2020-02-16,0.48,1,44.7908660752375
0.89,0.55,2020-02-16,0.48,1,41.76818486644
0.9,0.55,2020-02-16,0.48,1,38.8001249880484
0.91,0.55,2020-02-16,0.48,1,35.8863746346839
0.92,0.55,2020-02-16,0.48,1,33.0267511067916
0.93,0.55,2020-02-16,0.48,1,30.2212907707404
0.94,0.55,2020-02-16,0.48,1,27.4703015451763
0.95,0.55,2020-02-16,0.48,1,24.7747501249497
0.55,0.6,2020-02-16,0.48,1,366.835308965015
0.56,0.6,2020-02-16,0.48,1,347.859691722624
0.57,0.6,2020-02-16,0.48,1,329.314333361499
0.58,0.6,2020-02-16,0.48,1,311.2006999553
0.59,0.6,2020-02-16,0.48,1,293.524792226925
0.6,0.6,2020-02-16,0.48,1,276.288303141855
0.61,0.6,2020-02-16,0.48,1,259.500651485036
0.62,0.6,2020-02-16,0.48,1,243.17046625414
0.63,0.6,2020-02-16,0.48,1,227.309205255916
0.64,0.6,2020-02-16,0.48,1,211.931383394959
0.65,0.6,2020-02-16,0.48,1,197.05744571302
0.66,0.6,2020-02-16,0.48,1,182.712376567363
0.67,0.6,2020-02-16,0.48,1,168.92891012744
0.68,0.6,2020-02-16,0.48,1,155.751224514901
0.69,0.6,2020-02-16,0.48,1,143.236872074511
0.7,0.6,2020-02-16,0.48,1,131.464748597187
0.71,0.6,2020-02-16,0.48,1,120.542750420318
0.72,0.6,2020-02-16,0.48,1,110.623296193714
0.73,0.6,2020-02-16,0.48,1,101.920833329411
0.74,0.6,2020-02-16,0.48,1,94.7412659074599
0.75,0.6,2020-02-16,0.48,1,89.4429185682389
0.76,0.6,2020-02-16,0.48,1,85.5646313994441
0.77,0.6,2020-02-16,0.48,1,81.8316676592992
0.78,0.6,2020-02-16,0.48,1,78.162623335103
0.79,0.6,2020-02-16,0.48,1,74.5565587945312
0.8,0.6,2020-02-16,0.48,1,71.0124935567793
0.81,0.6,2020-02-16,0.48,1,67.5296132001161
0.82,0.6,2020-02-16,0.48,1,64.106959262026
0.83,0.6,2020-02-16,0.48,1,60.7437111901527
0.84,0.6,2020-02-16,0.48,1,57.4390281045555
0.85,0.6,2020-02-16,0.48,1,54.1921991672123
0.86,0.6,2020-02-16,0.48,1,51.0022357677662
0.87,0.6,2020-02-16,0.48,1,47.8687549534335
0.88,0.6,2020-02-16,0.48,1,44.7908660752375
0.89,0.6,2020-02-16,0.48,1,41.76818486644
0.9,0.6,2020-02-16,0.48,1,38.8001249880484
0.91,0.6,2020-02-16,0.48,1,35.8863746346839
0.92,0.6,2020-02-16,0.48,1,33.0267511067916
0.93,0.6,2020-02-16,0.48,1,30.2212907707404
0.94,0.6,2020-02-16,0.48,1,27.4703015451763
0.95,0.6,2020-02-16,0.48,1,24.7747501249497
0.55,0.65,2020-02-16,0.48,1,366.835308965015
0.56,0.65,2020-02-16,0.48,1,347.859691722624
0.57,0.65,2020-02-16,0.48,1,329.314333361499
0.58,0.65,2020-02-16,0.48,1,311.2006999553
0.59,0.65,2020-02-16,0.48,1,293.524792226925
0.6,0.65,2020-02-16,0.48,1,276.288303141855
0.61,0.65,2020-02-16,0.48,1,259.500651485036
0.62,0.65,2020-02-16,0.48,1,243.17046625414
0.63,0.65,2020-02-16,0.48,1,227.309205255916
0.64,0.65,2020-02-16,0.48,1,211.931383394959
0.65,0.65,2020-02-16,0.48,1,197.05744571302
0.66,0.65,2020-02-16,0.48,1,182.712376567363
0.67,0.65,2020-02-16,0.48,1,168.92891012744
0.68,0.65,2020-02-16,0.48,1,155.751224514901
0.69,0.65,2020-02-16,0.48,1,143.236872074511
0.7,0.65,2020-02-16,0.48,1,131.464748597187
0.71,0.65,2020-02-16,0.48,1,120.542750420318
0.72,0.65,2020-02-16,0.48,1,110.623296193714
0.73,0.65,2020-02-16,0.48,1,101.920833329411
0.74,0.65,2020-02-16,0.48,1,94.7412659074599
0.75,0.65,2020-02-16,0.48,1,89.4429185682389
0.76,0.65,2020-02-16,0.48,1,85.5646313994441
0.77,0.65,2020-02-16,0.48,1,81.8316676592992
0.78,0.65,2020-02-16,0.48,1,78.162623335103
0.79,0.65,2020-02-16,0.48,1,74.5565587945312
0.8,0.65,2020-02-16,0.48,1,71.0124935567793
0.81,0.65,2020-02-16,0.48,1,67.5296132001161
0.82,0.65,2020-02-16,0.48,1,64.106959262026
0.83,0.65,2020-02-16,0.48,1,60.7437111901527
0.84,0.65,2020-02-16,0.48,1,57.4390281045555
0.85,0.65,2020-02-16,0.48,1,54.1921991672123
0.86,0.65,2020-02-16,0.48,1,51.0022357677662
0.87,0.65,2020-02-16,0.48,1,47.8687549534335
0.88,0.65,2020-02-16,0.48,1,44.7908660752375
0.89,0.65,2020-02-16,0.48,1,41.76818486644
0.9,0.65,2020-02-16,0.48,1,38.8001249880484
0.91,0.65,2020-02-16,0.48,1,35.8863746346839
0.92,0.65,2020-02-16,0.48,1,33.0267511067916
0.93,0.65,2020-02-16,0.48,1,30.2212907707404
0.94,0.65,2020-02-16,0.48,1,27.4703015451763
0.95,0.65,2020-02-16,0.48,1,24.7747501249497
0.55,0.7,2020-02-16,0.48,1,366.835308965015
0.56,0.7,2020-02-16,0.48,1,347.859691722624
0.57,0.7,2020-02-16,0.48,1,329.314333361499
0.58,0.7,2020-02-16,0.48,1,311.2006999553
0.59,0.7,2020-02-16,0.48,1,293.524792226925
0.6,0.7,2020-02-16,0.48,1,276.288303141855
0.61,0.7,2020-02-16,0.48,1,259.500651485036
0.62,0.7,2020-02-16,0.48,1,243.17046625414
0.63,0.7,2020-02-16,0.48,1,227.309205255916
0.64,0.7,2020-02-16,0.48,1,211.931383394959
0.65,0.7,2020-02-16,0.48,1,197.05744571302
0.66,0.7,2020-02-16,0.48,1,182.712376567363
0.67,0.7,2020-02-16,0.48,1,168.92891012744
0.68,0.7,2020-02-16,0.48,1,155.751224514901
0.69,0.7,2020-02-16,0.48,1,143.236872074511
0.7,0.7,2020-02-16,0.48,1,131.464748597187
0.71,0.7,2020-02-16,0.48,1,120.542750420318
0.72,0.7,2020-02-16,0.48,1,110.623296193714
0.73,0.7,2020-02-16,0.48,1,101.920833329411
0.74,0.7,2020-02-16,0.48,1,94.7412659074599
0.75,0.7,2020-02-16,0.48,1,89.4429185682389
0.76,0.7,2020-02-16,0.48,1,85.5646313994441
0.77,0.7,2020-02-16,0.48,1,81.8316676592992
0.78,0.7,2020-02-16,0.48,1,78.162623335103
0.79,0.7,2020-02-16,0.48,1,74.5565587945312
0.8,0.7,2020-02-16,0.48,1,71.0124935567793
0.81,0.7,2020-02-16,0.48,1,67.5296132001161
0.82,0.7,2020-02-16,0.48,1,64.106959262026
0.83,0.7,2020-02-16,0.48,1,60.7437111901527
0.84,0.7,2020-02-16,0.48,1,57.4390281045555
0.85,0.7,2020-02-16,0.48,1,54.1921991672123
0.86,0.7,2020-02-16,0.48,1,51.0022357677662
0.87,0.7,2020-02-16,0.48,1,47.8687549534335
0.88,0.7,2020-02-16,0.48,1,44.7908660752375
0.89,0.7,2020-02-16,0.48,1,41.76818486644
0.9,0.7,2020-02-16,0.48,1,38.8001249880484
0.91,0.7,2020-02-16,0.48,1,35.8863746346839
0.92,0.7,2020-02-16,0.48,1,33.0267511067916
0.93,0.7,2020-02-16,0.48,1,30.2212907707404
0.94,0.7,2020-02-16,0.48,1,27.4703015451763
0.95,0.7,2020-02-16,0.48,1,24.7747501249497
0.55,0.75,2020-02-16,0.48,1,366.835308965015
0.56,0.75,2020-02-16,0.48,1,347.859691722624
0.57,0.75,2020-02-16,0.48,1,329.314333361499
0.58,0.75,2020-02-16,0.48,1,311.2006999553
0.59,0.75,2020-02-16,0.48,1,293.524792226925
0.6,0.75,2020-02-16,0.48,1,276.288303141855
0.61,0.75,2020-02-16,0.48,1,259.500651485036
0.62,0.75,2020-02-16,0.48,1,243.17046625414
0.63,0.75,2020-02-16,0.48,1,227.309205255916
0.64,0.75,2020-02-16,0.48,1,211.931383394959
0.65,0.75,2020-02-16,0.48,1,197.05744571302
0.66,0.75,2020-02-16,0.48,1,182.712376567363
0.67,0.75,2020-02-16,0.48,1,168.92891012744
0.68,0.75,2020-02-16,0.48,1,155.751224514901
0.69,0.75,2020-02-16,0.48,1,143.236872074511
0.7,0.75,2020-02-16,0.48,1,131.464748597187
0.71,0.75,2020-02-16,0.48,1,120.542750420318
0.72,0.75,2020-02-16,0.48,1,110.623296193714
0.73,0.75,2020-02-16,0.48,1,101.920833329411
0.74,0.75,2020-02-16,0.48,1,94.7412659074599
0.75,0.75,2020-02-16,0.48,1,89.4429185682389
0.76,0.75,2020-02-16,0.48,1,85.5646313994441
0.77,0.75,2020-02-16,0.48,1,81.8316676592992
0.78,0.75,2020-02-16,0.48,1,78.162623335103
0.79,0.75,2020-02-16,0.48,1,74.5565587945312
0.8,0.75,2020-02-16,0.48,1,71.0124935567793
0.81,0.75,2020-02-16,0.48,1,67.5296132001161
0.82,0.75,2020-02-16,0.48,1,64.106959262026
0.83,0.75,2020-02-16,0.48,1,60.7437111901527
0.84,0.75,2020-02-16,0.48,1,57.4390281045555
0.85,0.75,2020-02-16,0.48,1,54.1921991672123
0.86,0.75,2020-02-16,0.48,1,51.0022357677662
0.87,0.75,2020-02-16,0.48,1,47.8687549534335
0.88,0.75,2020-02-16,0.48,1,44.7908660752375
0.89,0.75,2020-02-16,0.48,1,41.76818486644
0.9,0.75,2020-02-16,0.48,1,38.8001249880484
0.91,0.75,2020-02-16,0.48,1,35.8863746346839
0.92,0.75,2020-02-16,0.48,1,33.0267511067916
0.93,0.75,2020-02-16,0.48,1,30.2212907707404
0.94,0.75,2020-02-16,0.48,1,27.4703015451763
0.95,0.75,2020-02-16,0.48,1,24.7747501249497
