"region","time","date","period","b1"
"Elkhart County, IN",0,2020-02-28,"baseline",0.28
"Elkhart County, IN",1,2020-02-29,"baseline",0.28
"Elkhart County, IN",2,2020-03-01,"baseline",0.28
"Elkhart County, IN",3,2020-03-02,"baseline",0.28
"Elkhart County, IN",4,2020-03-03,"baseline",0.28
"Elkhart County, IN",5,2020-03-04,"baseline",0.28
"Elkhart County, IN",6,2020-03-05,"baseline",0.28
"Elkhart County, IN",7,2020-03-06,"baseline",0.28
"Elkhart County, IN",8,2020-03-07,"baseline",0.28
"Elkhart County, IN",9,2020-03-08,"baseline",0.28
"Elkhart County, IN",10,2020-03-09,"baseline",0.28
"Elkhart County, IN",11,2020-03-10,"baseline",0.28
"Elkhart County, IN",12,2020-03-11,"baseline",0.28
"Elkhart County, IN",13,2020-03-12,"baseline",0.28
"Elkhart County, IN",14,2020-03-13,"baseline",0.28
"Elkhart County, IN",15,2020-03-14,"baseline",0.28
"Elkhart County, IN",16,2020-03-15,"baseline",0.28
"Elkhart County, IN",17,2020-03-16,"baseline",0.28
"Elkhart County, IN",18,2020-03-17,"baseline",0.28
"Elkhart County, IN",19,2020-03-18,"baseline",0.28
"Elkhart County, IN",20,2020-03-19,"baseline",0.28
"Elkhart County, IN",21,2020-03-20,"baseline",0.28
"Elkhart County, IN",21,2020-03-20,"stepNA",0.0908080657857137
"Elkhart County, IN",22,2020-03-21,"stepNA",0.0908080657857137
"Elkhart County, IN",23,2020-03-22,"stepNA",0.0908080657857137
"Elkhart County, IN",24,2020-03-23,"stepNA",0.0908080657857137
"Elkhart County, IN",25,2020-03-24,"stepNA",0.0908080657857137
"Elkhart County, IN",26,2020-03-25,"stepNA",0.0908080657857137
"Elkhart County, IN",27,2020-03-26,"stepNA",0.0908080657857137
"Elkhart County, IN",28,2020-03-27,"stepNA",0.0908080657857137
"Elkhart County, IN",29,2020-03-28,"stepNA",0.0908080657857137
"Elkhart County, IN",30,2020-03-29,"stepNA",0.0908080657857137
"Elkhart County, IN",31,2020-03-30,"stepNA",0.0908080657857137
"Elkhart County, IN",32,2020-03-31,"stepNA",0.0908080657857137
"Elkhart County, IN",33,2020-04-01,"stepNA",0.0908080657857137
"Elkhart County, IN",34,2020-04-02,"stepNA",0.0908080657857137
"Elkhart County, IN",35,2020-04-03,"stepNA",0.0908080657857137
"Elkhart County, IN",36,2020-04-04,"stepNA",0.0908080657857137
"Elkhart County, IN",37,2020-04-05,"stepNA",0.0908080657857137
"Elkhart County, IN",38,2020-04-06,"stepNA",0.0908080657857137
"Elkhart County, IN",39,2020-04-07,"stepNA",0.0908080657857137
"Elkhart County, IN",40,2020-04-08,"stepNA",0.0908080657857137
"Elkhart County, IN",41,2020-04-09,"stepNA",0.0908080657857137
"Elkhart County, IN",42,2020-04-10,"stepNA",0.0908080657857137
"Elkhart County, IN",43,2020-04-11,"stepNA",0.0908080657857137
"Elkhart County, IN",44,2020-04-12,"stepNA",0.0908080657857137
"Elkhart County, IN",45,2020-04-13,"stepNA",0.0908080657857137
"Elkhart County, IN",46,2020-04-14,"stepNA",0.0908080657857137
"Elkhart County, IN",47,2020-04-15,"stepNA",0.0908080657857137
"Elkhart County, IN",48,2020-04-16,"stepNA",0.0908080657857137
"Elkhart County, IN",49,2020-04-17,"stepNA",0.0908080657857137
"Elkhart County, IN",50,2020-04-18,"stepNA",0.0908080657857137
"Elkhart County, IN",51,2020-04-19,"stepNA",0.0908080657857137
"Elkhart County, IN",52,2020-04-20,"stepNA",0.0908080657857137
"Elkhart County, IN",53,2020-04-21,"stepNA",0.0908080657857137
"Elkhart County, IN",54,2020-04-22,"stepNA",0.0908080657857137
"Elkhart County, IN",55,2020-04-23,"stepNA",0.0908080657857137
"Elkhart County, IN",56,2020-04-24,"stepNA",0.0908080657857137
"Elkhart County, IN",57,2020-04-25,"stepNA",0.0908080657857137
"Elkhart County, IN",58,2020-04-26,"stepNA",0.0908080657857137
"Elkhart County, IN",59,2020-04-27,"stepNA",0.0908080657857137
"Elkhart County, IN",60,2020-04-28,"stepNA",0.0908080657857137
"Elkhart County, IN",61,2020-04-29,"stepNA",0.0908080657857137
"Elkhart County, IN",62,2020-04-30,"stepNA",0.0908080657857137
"Elkhart County, IN",63,2020-05-01,"stepNA",0.0908080657857137
"Elkhart County, IN",64,2020-05-02,"stepNA",0.0908080657857137
"Elkhart County, IN",65,2020-05-03,"stepNA",0.0908080657857137
"Elkhart County, IN",66,2020-05-04,"stepNA",0.0908080657857137
"Elkhart County, IN",67,2020-05-05,"stepNA",0.0908080657857137
"Elkhart County, IN",68,2020-05-06,"stepNA",0.0908080657857137
"Elkhart County, IN",69,2020-05-07,"stepNA",0.0908080657857137
"Elkhart County, IN",70,2020-05-08,"stepNA",0.0908080657857137
"Elkhart County, IN",71,2020-05-09,"stepNA",0.0908080657857137
