"region","time","date","period","b1"
"Waukesha County, WI",0,2020-03-06,"baseline",0.6
"Waukesha County, WI",1,2020-03-07,"baseline",0.6
"Waukesha County, WI",2,2020-03-08,"baseline",0.6
"Waukesha County, WI",3,2020-03-09,"baseline",0.6
"Waukesha County, WI",4,2020-03-10,"baseline",0.6
"Waukesha County, WI",5,2020-03-11,"baseline",0.6
"Waukesha County, WI",6,2020-03-12,"baseline",0.6
"Waukesha County, WI",7,2020-03-13,"baseline",0.6
"Waukesha County, WI",8,2020-03-14,"baseline",0.6
"Waukesha County, WI",8,2020-03-14,"step1",0.22
"Waukesha County, WI",9,2020-03-15,"step1",0.22
"Waukesha County, WI",10,2020-03-16,"step1",0.22
"Waukesha County, WI",10,2020-03-16,"step2",0.35
"Waukesha County, WI",11,2020-03-17,"step2",0.35
"Waukesha County, WI",12,2020-03-18,"step2",0.35
"Waukesha County, WI",12,2020-03-18,"step3",0.31
"Waukesha County, WI",13,2020-03-19,"step3",0.31
"Waukesha County, WI",14,2020-03-20,"step3",0.31
"Waukesha County, WI",14,2020-03-20,"step5",0.27
"Waukesha County, WI",15,2020-03-21,"step5",0.27
"Waukesha County, WI",16,2020-03-22,"step5",0.27
"Waukesha County, WI",16,2020-03-22,"step6",0.24
"Waukesha County, WI",17,2020-03-23,"step6",0.24
"Waukesha County, WI",18,2020-03-24,"step6",0.24
"Waukesha County, WI",18,2020-03-24,"step7",0.21
"Waukesha County, WI",19,2020-03-25,"step7",0.21
"Waukesha County, WI",20,2020-03-26,"step7",0.21
"Waukesha County, WI",20,2020-03-26,"step8",0.19
"Waukesha County, WI",21,2020-03-27,"step8",0.19
"Waukesha County, WI",22,2020-03-28,"step8",0.19
"Waukesha County, WI",22,2020-03-28,"step9",0.17
"Waukesha County, WI",23,2020-03-29,"step9",0.17
"Waukesha County, WI",24,2020-03-30,"step9",0.17
"Waukesha County, WI",24,2020-03-30,"step10",0.14
"Waukesha County, WI",25,2020-03-31,"step10",0.14
"Waukesha County, WI",26,2020-04-01,"step10",0.14
"Waukesha County, WI",26,2020-04-01,"step11",0.11
"Waukesha County, WI",27,2020-04-02,"step11",0.11
"Waukesha County, WI",28,2020-04-03,"step11",0.11
"Waukesha County, WI",28,2020-04-03,"step12",0.08
"Waukesha County, WI",29,2020-04-04,"step12",0.08
"Waukesha County, WI",30,2020-04-05,"step12",0.08
"Waukesha County, WI",30,2020-04-05,"step13",0.07
"Waukesha County, WI",31,2020-04-06,"step13",0.07
"Waukesha County, WI",32,2020-04-07,"step13",0.07
"Waukesha County, WI",32,2020-04-07,"step14",0.06
"Waukesha County, WI",33,2020-04-08,"step14",0.06
"Waukesha County, WI",34,2020-04-09,"step14",0.06
"Waukesha County, WI",34,2020-04-09,"step15",0.07
"Waukesha County, WI",35,2020-04-10,"step15",0.07
"Waukesha County, WI",36,2020-04-11,"step15",0.07
"Waukesha County, WI",36,2020-04-11,"step16",0.08
"Waukesha County, WI",37,2020-04-12,"step16",0.08
"Waukesha County, WI",38,2020-04-13,"step16",0.08
"Waukesha County, WI",38,2020-04-13,"step17",0.09
"Waukesha County, WI",39,2020-04-14,"step17",0.09
"Waukesha County, WI",40,2020-04-15,"step17",0.09
"Waukesha County, WI",40,2020-04-15,"step19",0.1
"Waukesha County, WI",41,2020-04-16,"step19",0.1
"Waukesha County, WI",42,2020-04-17,"step19",0.1
"Waukesha County, WI",42,2020-04-17,"step20",0.11
"Waukesha County, WI",43,2020-04-18,"step20",0.11
"Waukesha County, WI",44,2020-04-19,"step20",0.11
"Waukesha County, WI",44,2020-04-19,"step21",0.11
"Waukesha County, WI",45,2020-04-20,"step21",0.11
"Waukesha County, WI",46,2020-04-21,"step21",0.11
"Waukesha County, WI",46,2020-04-21,"step22",0.1
"Waukesha County, WI",47,2020-04-22,"step22",0.1
"Waukesha County, WI",48,2020-04-23,"step22",0.1
"Waukesha County, WI",48,2020-04-23,"step23",0.1
"Waukesha County, WI",49,2020-04-24,"step23",0.1
"Waukesha County, WI",50,2020-04-25,"step23",0.1
"Waukesha County, WI",50,2020-04-25,"step24",0.08
"Waukesha County, WI",51,2020-04-26,"step24",0.08
"Waukesha County, WI",52,2020-04-27,"step24",0.08
"Waukesha County, WI",52,2020-04-27,"step25",0.04
"Waukesha County, WI",53,2020-04-28,"step25",0.04
"Waukesha County, WI",54,2020-04-29,"step25",0.04
"Waukesha County, WI",54,2020-04-29,"step26",0
"Waukesha County, WI",55,2020-04-30,"step26",0
"Waukesha County, WI",56,2020-05-01,"step26",0
"Waukesha County, WI",56,2020-05-01,"step27",0
"Waukesha County, WI",57,2020-05-02,"step27",0
"Waukesha County, WI",58,2020-05-03,"step27",0
"Waukesha County, WI",58,2020-05-03,"step28",0
"Waukesha County, WI",59,2020-05-04,"step28",0
"Waukesha County, WI",60,2020-05-05,"step28",0
"Waukesha County, WI",60,2020-05-05,"step30",0.31
"Waukesha County, WI",61,2020-05-06,"step30",0.31
"Waukesha County, WI",62,2020-05-07,"step30",0.31
"Waukesha County, WI",62,2020-05-07,"step32",0.3
"Waukesha County, WI",63,2020-05-08,"step32",0.3
"Waukesha County, WI",63,2020-05-08,"step34",0.3
"Waukesha County, WI",64,2020-05-09,"step34",0.3
"Waukesha County, WI",65,2020-05-10,"step34",0.3
"Waukesha County, WI",65,2020-05-10,"step36",0.28
"Waukesha County, WI",66,2020-05-11,"step36",0.28
"Waukesha County, WI",67,2020-05-12,"step36",0.28
"Waukesha County, WI",67,2020-05-12,"step39",0.25
"Waukesha County, WI",67,2020-05-12,"step40",0.25
"Waukesha County, WI",68,2020-05-13,"step40",0.25
"Waukesha County, WI",69,2020-05-14,"step40",0.25
"Waukesha County, WI",69,2020-05-14,"step41",0.22
"Waukesha County, WI",70,2020-05-15,"step41",0.22
"Waukesha County, WI",71,2020-05-16,"step41",0.22
"Waukesha County, WI",71,2020-05-16,"step42",0.19
"Waukesha County, WI",72,2020-05-17,"step42",0.19
"Waukesha County, WI",73,2020-05-18,"step42",0.19
"Waukesha County, WI",73,2020-05-18,"step43",0.16
"Waukesha County, WI",74,2020-05-19,"step43",0.16
"Waukesha County, WI",75,2020-05-20,"step43",0.16
"Waukesha County, WI",75,2020-05-20,"step44",0.14
"Waukesha County, WI",76,2020-05-21,"step44",0.14
"Waukesha County, WI",77,2020-05-22,"step44",0.14
"Waukesha County, WI",77,2020-05-22,"step45",0.14
"Waukesha County, WI",78,2020-05-23,"step45",0.14
"Waukesha County, WI",79,2020-05-24,"step45",0.14
"Waukesha County, WI",79,2020-05-24,"step46",0.14
"Waukesha County, WI",80,2020-05-25,"step46",0.14
"Waukesha County, WI",81,2020-05-26,"step46",0.14
"Waukesha County, WI",81,2020-05-26,"step47",0.13
"Waukesha County, WI",82,2020-05-27,"step47",0.13
"Waukesha County, WI",83,2020-05-28,"step47",0.13
"Waukesha County, WI",83,2020-05-28,"step48",0.12
"Waukesha County, WI",84,2020-05-29,"step48",0.12
"Waukesha County, WI",85,2020-05-30,"step48",0.12
"Waukesha County, WI",85,2020-05-30,"step49",0.09
"Waukesha County, WI",86,2020-05-31,"step49",0.09
"Waukesha County, WI",87,2020-06-01,"step49",0.09
"Waukesha County, WI",87,2020-06-01,"step50",0.05
"Waukesha County, WI",88,2020-06-02,"step50",0.05
"Waukesha County, WI",89,2020-06-03,"step50",0.05
