"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.57,0.1,0.35,2020-01-31,0.35,2,71.2851436831158
0.58,0.1,0.35,2020-01-31,0.35,2,69.5353970328509
0.59,0.1,0.35,2020-01-31,0.35,2,67.7951459921486
0.6,0.1,0.35,2020-01-31,0.35,2,66.0641693826434
0.61,0.1,0.35,2020-01-31,0.35,2,64.3428857189976
0.62,0.1,0.35,2020-01-31,0.35,2,62.6314009677591
0.63,0.1,0.35,2020-01-31,0.35,2,60.9300268034254
0.64,0.1,0.35,2020-01-31,0.35,2,59.2387142967616
0.65,0.1,0.35,2020-01-31,0.35,2,57.5577070917932
0.66,0.1,0.35,2020-01-31,0.35,2,55.8874711079401
0.67,0.1,0.35,2020-01-31,0.35,2,54.2281802879485
0.68,0.1,0.35,2020-01-31,0.35,2,52.5801427918197
0.69,0.1,0.35,2020-01-31,0.35,2,50.943800478344
0.7,0.1,0.35,2020-01-31,0.35,2,49.319562607877
0.71,0.1,0.35,2020-01-31,0.35,2,47.7078121404059
0.72,0.1,0.35,2020-01-31,0.35,2,46.109206394125
0.73,0.1,0.35,2020-01-31,0.35,2,44.5242550314591
0.74,0.1,0.35,2020-01-31,0.35,2,42.9534502816997
0.75,0.1,0.35,2020-01-31,0.35,2,41.3979529084786
0.76,0.1,0.35,2020-01-31,0.35,2,39.8588522358565
0.77,0.1,0.35,2020-01-31,0.35,2,38.3363637912072
0.78,0.1,0.35,2020-01-31,0.35,2,36.8321549762496
0.79,0.1,0.35,2020-01-31,0.35,2,35.3477682454565
0.8,0.1,0.35,2020-01-31,0.35,2,33.8845388473989
0.81,0.1,0.35,2020-01-31,0.35,2,32.4443378762822
0.82,0.1,0.35,2020-01-31,0.35,2,31.0294852296934
0.83,0.1,0.35,2020-01-31,0.35,2,29.6422165894537
0.84,0.1,0.35,2020-01-31,0.35,2,28.2855666713858
0.85,0.1,0.35,2020-01-31,0.35,2,26.9630649421333
0.86,0.1,0.35,2020-01-31,0.35,2,25.6786903711449
0.87,0.1,0.35,2020-01-31,0.35,2,24.4370596440002
0.88,0.1,0.35,2020-01-31,0.35,2,23.2436459567729
0.89,0.1,0.35,2020-01-31,0.35,2,22.1050342385033
0.9,0.1,0.35,2020-01-31,0.35,2,21.0286592990744
0.91,0.1,0.35,2020-01-31,0.35,2,20.0227282174569
0.92,0.1,0.35,2020-01-31,0.35,2,19.0971893302802
0.93,0.1,0.35,2020-01-31,0.35,2,18.2623935042418
0.94,0.1,0.35,2020-01-31,0.35,2,17.5295838679211
0.95,0.1,0.35,2020-01-31,0.35,2,16.9103133267943
0.55,0.2,0.35,2020-01-31,0.35,2,29.8446328304393
0.56,0.2,0.35,2020-01-31,0.35,2,28.5433764147241
0.57,0.2,0.35,2020-01-31,0.35,2,27.2854185211246
0.58,0.2,0.35,2020-01-31,0.35,2,26.0757899405686
0.59,0.2,0.35,2020-01-31,0.35,2,24.9200590430515
0.6,0.2,0.35,2020-01-31,0.35,2,23.8248041811569
0.61,0.2,0.35,2020-01-31,0.35,2,22.7973196941417
0.62,0.2,0.35,2020-01-31,0.35,2,21.8456672357439
0.63,0.2,0.35,2020-01-31,0.35,2,20.9785726999519
0.64,0.2,0.35,2020-01-31,0.35,2,20.2053999875467
0.65,0.2,0.35,2020-01-31,0.35,2,19.5357140305404
0.66,0.2,0.35,2020-01-31,0.35,2,18.9787260443179
0.67,0.2,0.35,2020-01-31,0.35,2,18.5429883906592
0.68,0.2,0.35,2020-01-31,0.35,2,18.2354847717278
0.69,0.2,0.35,2020-01-31,0.35,2,18.0610505106572
0.7,0.2,0.35,2020-01-31,0.35,2,18.0219331515697
0.71,0.2,0.35,2020-01-31,0.35,2,18.1172354470296
0.72,0.2,0.35,2020-01-31,0.35,2,18.3434090154885
0.73,0.2,0.35,2020-01-31,0.35,2,18.6939723343629
0.74,0.2,0.35,2020-01-31,0.35,2,19.1603867062714
0.75,0.2,0.35,2020-01-31,0.35,2,19.7336811690989
0.76,0.2,0.35,2020-01-31,0.35,2,20.4027566305722
0.77,0.2,0.35,2020-01-31,0.35,2,21.1573292908229
0.78,0.2,0.35,2020-01-31,0.35,2,21.9875284094012
0.79,0.2,0.35,2020-01-31,0.35,2,22.8836597547574
0.8,0.2,0.35,2020-01-31,0.35,2,23.8371851133668
0.81,0.2,0.35,2020-01-31,0.35,2,24.8404972612271
0.82,0.2,0.35,2020-01-31,0.35,2,25.8865316780633
0.83,0.2,0.35,2020-01-31,0.35,2,26.9696546238433
0.84,0.2,0.35,2020-01-31,0.35,2,28.0841771325137
0.85,0.2,0.35,2020-01-31,0.35,2,29.2259583925518
0.86,0.2,0.35,2020-01-31,0.35,2,30.3910133116436
0.87,0.2,0.35,2020-01-31,0.35,2,31.5755219658029
0.88,0.2,0.35,2020-01-31,0.35,2,32.7773562489343
0.89,0.2,0.35,2020-01-31,0.35,2,33.993292606411
0.9,0.2,0.35,2020-01-31,0.35,2,35.2212651083036
0.91,0.2,0.35,2020-01-31,0.35,2,36.45947262128
0.92,0.2,0.35,2020-01-31,0.35,2,37.7063887064551
0.93,0.2,0.35,2020-01-31,0.35,2,38.9601008121097
0.94,0.2,0.35,2020-01-31,0.35,2,40.2198170836404
0.95,0.2,0.35,2020-01-31,0.35,2,41.4840423350234
0.55,0.3,0.35,2020-01-31,0.35,2,32.2488727116581
0.56,0.3,0.35,2020-01-31,0.35,2,33.2209244791439
0.57,0.3,0.35,2020-01-31,0.35,2,34.2262718978705
0.58,0.3,0.35,2020-01-31,0.35,2,35.2607967286801
0.59,0.3,0.35,2020-01-31,0.35,2,36.3214319121827
0.6,0.3,0.35,2020-01-31,0.35,2,37.4049780917054
0.61,0.3,0.35,2020-01-31,0.35,2,38.5091147772546
0.62,0.3,0.35,2020-01-31,0.35,2,39.6311334626396
0.63,0.3,0.35,2020-01-31,0.35,2,40.7686548217035
0.64,0.3,0.35,2020-01-31,0.35,2,41.9207282333205
0.65,0.3,0.35,2020-01-31,0.35,2,43.0845559873824
0.66,0.3,0.35,2020-01-31,0.35,2,44.2590071194988
0.67,0.3,0.35,2020-01-31,0.35,2,45.4426449911528
0.68,0.3,0.35,2020-01-31,0.35,2,46.6340423663101
0.69,0.3,0.35,2020-01-31,0.35,2,47.8323445364245
0.7,0.3,0.35,2020-01-31,0.35,2,49.0362165247378
0.71,0.3,0.35,2020-01-31,0.35,2,50.245031023261
0.72,0.3,0.35,2020-01-31,0.35,2,51.4576893789737
0.73,0.3,0.35,2020-01-31,0.35,2,52.6734037478389
0.74,0.3,0.35,2020-01-31,0.35,2,53.8918107879926
0.75,0.3,0.35,2020-01-31,0.35,2,55.1118591756331
0.76,0.3,0.35,2020-01-31,0.35,2,56.3333227208535
0.77,0.3,0.35,2020-01-31,0.35,2,57.5554980015191
0.78,0.3,0.35,2020-01-31,0.35,2,58.7779078062048
0.79,0.3,0.35,2020-01-31,0.35,2,60.0000836589914
0.8,0.3,0.35,2020-01-31,0.35,2,61.2215623879795
0.81,0.3,0.35,2020-01-31,0.35,2,62.4422476974441
0.82,0.3,0.35,2020-01-31,0.35,2,63.6613067942272
0.83,0.3,0.35,2020-01-31,0.35,2,64.8792678125272
0.84,0.3,0.35,2020-01-31,0.35,2,66.0949870216844
0.85,0.3,0.35,2020-01-31,0.35,2,67.3084754540283
0.86,0.3,0.35,2020-01-31,0.35,2,68.5196885302147
0.87,0.3,0.35,2020-01-31,0.35,2,69.727793545088
0.88,0.3,0.35,2020-01-31,0.35,2,70.9336709688582
0.89,0.3,0.35,2020-01-31,0.35,2,72.1361243113367
0.9,0.3,0.35,2020-01-31,0.35,2,73.3351717257173
0.91,0.3,0.35,2020-01-31,0.35,2,74.5305879602107
0.92,0.3,0.35,2020-01-31,0.35,2,75.7223265314537
0.93,0.3,0.35,2020-01-31,0.35,2,76.9103346937537
0.94,0.3,0.35,2020-01-31,0.35,2,78.0919831415724
0.95,0.3,0.35,2020-01-31,0.35,2,79.26278272842
0.55,0.1,0.4,2020-01-31,0.35,2,74.8120076418525
0.56,0.1,0.4,2020-01-31,0.35,2,73.0439009148644
0.57,0.1,0.4,2020-01-31,0.35,2,71.2851436831158
0.58,0.1,0.4,2020-01-31,0.35,2,69.5353970328509
0.59,0.1,0.4,2020-01-31,0.35,2,67.7951459921486
0.6,0.1,0.4,2020-01-31,0.35,2,66.0641693826434
0.61,0.1,0.4,2020-01-31,0.35,2,64.3428857189976
0.62,0.1,0.4,2020-01-31,0.35,2,62.6314009677591
0.63,0.1,0.4,2020-01-31,0.35,2,60.9300268034254
0.64,0.1,0.4,2020-01-31,0.35,2,59.2387142967616
0.65,0.1,0.4,2020-01-31,0.35,2,57.5577070917932
0.66,0.1,0.4,2020-01-31,0.35,2,55.8874711079401
0.67,0.1,0.4,2020-01-31,0.35,2,54.2281802879485
0.68,0.1,0.4,2020-01-31,0.35,2,52.5801427918197
0.69,0.1,0.4,2020-01-31,0.35,2,50.943800478344
0.7,0.1,0.4,2020-01-31,0.35,2,49.319562607877
0.71,0.1,0.4,2020-01-31,0.35,2,47.7078121404059
0.72,0.1,0.4,2020-01-31,0.35,2,46.109206394125
0.73,0.1,0.4,2020-01-31,0.35,2,44.5242550314591
0.74,0.1,0.4,2020-01-31,0.35,2,42.9534502816997
0.75,0.1,0.4,2020-01-31,0.35,2,41.3979529084786
0.76,0.1,0.4,2020-01-31,0.35,2,39.8588522358565
0.77,0.1,0.4,2020-01-31,0.35,2,38.3363637912072
0.78,0.1,0.4,2020-01-31,0.35,2,36.8321549762496
0.79,0.1,0.4,2020-01-31,0.35,2,35.3477682454565
0.8,0.1,0.4,2020-01-31,0.35,2,33.8845388473989
0.81,0.1,0.4,2020-01-31,0.35,2,32.4443378762822
0.82,0.1,0.4,2020-01-31,0.35,2,31.0294852296934
0.83,0.1,0.4,2020-01-31,0.35,2,29.6422165894537
0.84,0.1,0.4,2020-01-31,0.35,2,28.2855666713858
0.85,0.1,0.4,2020-01-31,0.35,2,26.9630649421333
0.86,0.1,0.4,2020-01-31,0.35,2,25.6786903711449
0.87,0.1,0.4,2020-01-31,0.35,2,24.4370596440002
0.88,0.1,0.4,2020-01-31,0.35,2,23.2436459567729
0.89,0.1,0.4,2020-01-31,0.35,2,22.1050342385033
0.9,0.1,0.4,2020-01-31,0.35,2,21.0286592990744
0.91,0.1,0.4,2020-01-31,0.35,2,20.0227282174569
0.92,0.1,0.4,2020-01-31,0.35,2,19.0971893302802
0.93,0.1,0.4,2020-01-31,0.35,2,18.2623935042418
0.94,0.1,0.4,2020-01-31,0.35,2,17.5295838679211
0.95,0.1,0.4,2020-01-31,0.35,2,16.9103133267943
0.55,0.2,0.4,2020-01-31,0.35,2,29.8446328304393
0.56,0.2,0.4,2020-01-31,0.35,2,28.5433764147241
0.57,0.2,0.4,2020-01-31,0.35,2,27.2854185211246
0.58,0.2,0.4,2020-01-31,0.35,2,26.0757899405686
0.59,0.2,0.4,2020-01-31,0.35,2,24.9200590430515
0.6,0.2,0.4,2020-01-31,0.35,2,23.8248041811569
0.61,0.2,0.4,2020-01-31,0.35,2,22.7973196941417
0.62,0.2,0.4,2020-01-31,0.35,2,21.8456672357439
0.63,0.2,0.4,2020-01-31,0.35,2,20.9785726999519
0.64,0.2,0.4,2020-01-31,0.35,2,20.2053999875467
