"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.63,0.3,2020-02-22,0.42,1,10.7829013253355
0.64,0.3,2020-02-22,0.42,1,9.63527450119121
0.65,0.3,2020-02-22,0.42,1,8.65816002438566
0.66,0.3,2020-02-22,0.42,1,7.85721661413143
0.67,0.3,2020-02-22,0.42,1,7.22077822237631
0.68,0.3,2020-02-22,0.42,1,6.70914975248799
0.69,0.3,2020-02-22,0.42,1,6.25547778178015
0.7,0.3,2020-02-22,0.42,1,5.82424989368686
0.71,0.3,2020-02-22,0.42,1,5.41713070404197
0.72,0.3,2020-02-22,0.42,1,5.03736057954269
0.73,0.3,2020-02-22,0.42,1,4.68887602853307
0.74,0.3,2020-02-22,0.42,1,4.376374042934
0.75,0.3,2020-02-22,0.42,1,4.10516369455399
0.76,0.3,2020-02-22,0.42,1,3.88098643830897
0.77,0.3,2020-02-22,0.42,1,3.70939427678141
0.78,0.3,2020-02-22,0.42,1,3.5949472317025
0.79,0.3,2020-02-22,0.42,1,3.5402871900364
0.8,0.3,2020-02-22,0.42,1,3.54537850781872
0.81,0.3,2020-02-22,0.42,1,3.60731344035965
0.82,0.3,2020-02-22,0.42,1,3.72077095898415
0.83,0.3,2020-02-22,0.42,1,3.8789367657393
0.84,0.3,2020-02-22,0.42,1,4.07449770815526
0.85,0.3,2020-02-22,0.42,1,4.30042993227083
0.86,0.3,2020-02-22,0.42,1,4.55045373269532
0.87,0.3,2020-02-22,0.42,1,4.81921258213682
0.88,0.3,2020-02-22,0.42,1,5.10230489172768
0.89,0.3,2020-02-22,0.42,1,5.39613604564051
0.9,0.3,2020-02-22,0.42,1,5.69783602393325
0.91,0.3,2020-02-22,0.42,1,6.00510947045769
0.92,0.3,2020-02-22,0.42,1,6.31612772132319
0.93,0.3,2020-02-22,0.42,1,6.62943221035198
0.94,0.3,2020-02-22,0.42,1,6.94385461704777
0.95,0.3,2020-02-22,0.42,1,7.2584638625654
0.55,0.35,2020-02-22,0.42,1,24.4278509541991
0.56,0.35,2020-02-22,0.42,1,22.3901102854068
0.57,0.35,2020-02-22,0.42,1,20.432062749262
0.58,0.35,2020-02-22,0.42,1,18.5593181592249
0.59,0.35,2020-02-22,0.42,1,16.7786828088953
0.6,0.35,2020-02-22,0.42,1,15.0989280631609
0.61,0.35,2020-02-22,0.42,1,13.5305445611605
0.62,0.35,2020-02-22,0.42,1,12.0867764386086
0.63,0.35,2020-02-22,0.42,1,10.7829013253355
0.64,0.35,2020-02-22,0.42,1,9.63527450119121
0.65,0.35,2020-02-22,0.42,1,8.65816002438566
0.66,0.35,2020-02-22,0.42,1,7.85721661413143
0.67,0.35,2020-02-22,0.42,1,7.22077822237631
0.68,0.35,2020-02-22,0.42,1,6.70914975248799
0.69,0.35,2020-02-22,0.42,1,6.25547778178015
0.7,0.35,2020-02-22,0.42,1,5.82424989368686
0.71,0.35,2020-02-22,0.42,1,5.41713070404197
0.72,0.35,2020-02-22,0.42,1,5.03736057954269
0.73,0.35,2020-02-22,0.42,1,4.68887602853307
0.74,0.35,2020-02-22,0.42,1,4.376374042934
0.75,0.35,2020-02-22,0.42,1,4.10516369455399
0.76,0.35,2020-02-22,0.42,1,3.88098643830897
0.77,0.35,2020-02-22,0.42,1,3.70939427678141
0.78,0.35,2020-02-22,0.42,1,3.5949472317025
0.79,0.35,2020-02-22,0.42,1,3.5402871900364
0.8,0.35,2020-02-22,0.42,1,3.54537850781872
0.81,0.35,2020-02-22,0.42,1,3.60731344035965
0.82,0.35,2020-02-22,0.42,1,3.72077095898415
0.83,0.35,2020-02-22,0.42,1,3.8789367657393
0.84,0.35,2020-02-22,0.42,1,4.07449770815526
0.85,0.35,2020-02-22,0.42,1,4.30042993227083
0.86,0.35,2020-02-22,0.42,1,4.55045373269532
0.87,0.35,2020-02-22,0.42,1,4.81921258213682
0.88,0.35,2020-02-22,0.42,1,5.10230489172768
0.89,0.35,2020-02-22,0.42,1,5.39613604564051
0.9,0.35,2020-02-22,0.42,1,5.69783602393325
0.91,0.35,2020-02-22,0.42,1,6.00510947045769
0.92,0.35,2020-02-22,0.42,1,6.31612772132319
0.93,0.35,2020-02-22,0.42,1,6.62943221035198
0.94,0.35,2020-02-22,0.42,1,6.94385461704777
0.95,0.35,2020-02-22,0.42,1,7.2584638625654
0.55,0.4,2020-02-22,0.42,1,24.4278509541991
0.56,0.4,2020-02-22,0.42,1,22.3901102854068
0.57,0.4,2020-02-22,0.42,1,20.432062749262
0.58,0.4,2020-02-22,0.42,1,18.5593181592249
0.59,0.4,2020-02-22,0.42,1,16.7786828088953
0.6,0.4,2020-02-22,0.42,1,15.0989280631609
0.61,0.4,2020-02-22,0.42,1,13.5305445611605
0.62,0.4,2020-02-22,0.42,1,12.0867764386086
0.63,0.4,2020-02-22,0.42,1,10.7829013253355
0.64,0.4,2020-02-22,0.42,1,9.63527450119121
0.65,0.4,2020-02-22,0.42,1,8.65816002438566
0.66,0.4,2020-02-22,0.42,1,7.85721661413143
0.67,0.4,2020-02-22,0.42,1,7.22077822237631
0.68,0.4,2020-02-22,0.42,1,6.70914975248799
0.69,0.4,2020-02-22,0.42,1,6.25547778178015
0.7,0.4,2020-02-22,0.42,1,5.82424989368686
0.71,0.4,2020-02-22,0.42,1,5.41713070404197
0.72,0.4,2020-02-22,0.42,1,5.03736057954269
0.73,0.4,2020-02-22,0.42,1,4.68887602853307
0.74,0.4,2020-02-22,0.42,1,4.376374042934
0.75,0.4,2020-02-22,0.42,1,4.10516369455399
0.76,0.4,2020-02-22,0.42,1,3.88098643830897
0.77,0.4,2020-02-22,0.42,1,3.70939427678141
0.78,0.4,2020-02-22,0.42,1,3.5949472317025
0.79,0.4,2020-02-22,0.42,1,3.5402871900364
0.8,0.4,2020-02-22,0.42,1,3.54537850781872
0.81,0.4,2020-02-22,0.42,1,3.60731344035965
0.82,0.4,2020-02-22,0.42,1,3.72077095898415
0.83,0.4,2020-02-22,0.42,1,3.8789367657393
0.84,0.4,2020-02-22,0.42,1,4.07449770815526
0.85,0.4,2020-02-22,0.42,1,4.30042993227083
0.86,0.4,2020-02-22,0.42,1,4.55045373269532
0.87,0.4,2020-02-22,0.42,1,4.81921258213682
0.88,0.4,2020-02-22,0.42,1,5.10230489172768
0.89,0.4,2020-02-22,0.42,1,5.39613604564051
0.9,0.4,2020-02-22,0.42,1,5.69783602393325
0.91,0.4,2020-02-22,0.42,1,6.00510947045769
0.92,0.4,2020-02-22,0.42,1,6.31612772132319
0.93,0.4,2020-02-22,0.42,1,6.62943221035198
0.94,0.4,2020-02-22,0.42,1,6.94385461704777
0.95,0.4,2020-02-22,0.42,1,7.2584638625654
0.55,0.45,2020-02-22,0.42,1,24.4278509541991
0.56,0.45,2020-02-22,0.42,1,22.3901102854068
0.57,0.45,2020-02-22,0.42,1,20.432062749262
0.58,0.45,2020-02-22,0.42,1,18.5593181592249
0.59,0.45,2020-02-22,0.42,1,16.7786828088953
0.6,0.45,2020-02-22,0.42,1,15.0989280631609
0.61,0.45,2020-02-22,0.42,1,13.5305445611605
0.62,0.45,2020-02-22,0.42,1,12.0867764386086
0.63,0.45,2020-02-22,0.42,1,10.7829013253355
0.64,0.45,2020-02-22,0.42,1,9.63527450119121
0.65,0.45,2020-02-22,0.42,1,8.65816002438566
0.66,0.45,2020-02-22,0.42,1,7.85721661413143
0.67,0.45,2020-02-22,0.42,1,7.22077822237631
0.68,0.45,2020-02-22,0.42,1,6.70914975248799
0.69,0.45,2020-02-22,0.42,1,6.25547778178015
0.7,0.45,2020-02-22,0.42,1,5.82424989368686
0.71,0.45,2020-02-22,0.42,1,5.41713070404197
0.72,0.45,2020-02-22,0.42,1,5.03736057954269
0.73,0.45,2020-02-22,0.42,1,4.68887602853307
0.74,0.45,2020-02-22,0.42,1,4.376374042934
0.75,0.45,2020-02-22,0.42,1,4.10516369455399
0.76,0.45,2020-02-22,0.42,1,3.88098643830897
0.77,0.45,2020-02-22,0.42,1,3.70939427678141
0.78,0.45,2020-02-22,0.42,1,3.5949472317025
0.79,0.45,2020-02-22,0.42,1,3.5402871900364
0.8,0.45,2020-02-22,0.42,1,3.54537850781872
0.81,0.45,2020-02-22,0.42,1,3.60731344035965
0.82,0.45,2020-02-22,0.42,1,3.72077095898415
0.83,0.45,2020-02-22,0.42,1,3.8789367657393
0.84,0.45,2020-02-22,0.42,1,4.07449770815526
0.85,0.45,2020-02-22,0.42,1,4.30042993227083
0.86,0.45,2020-02-22,0.42,1,4.55045373269532
0.87,0.45,2020-02-22,0.42,1,4.81921258213682
0.88,0.45,2020-02-22,0.42,1,5.10230489172768
0.89,0.45,2020-02-22,0.42,1,5.39613604564051
0.9,0.45,2020-02-22,0.42,1,5.69783602393325
0.91,0.45,2020-02-22,0.42,1,6.00510947045769
0.92,0.45,2020-02-22,0.42,1,6.31612772132319
0.93,0.45,2020-02-22,0.42,1,6.62943221035198
0.94,0.45,2020-02-22,0.42,1,6.94385461704777
0.95,0.45,2020-02-22,0.42,1,7.2584638625654
0.55,0.5,2020-02-22,0.42,1,24.4278509541991
0.56,0.5,2020-02-22,0.42,1,22.3901102854068
0.57,0.5,2020-02-22,0.42,1,20.432062749262
0.58,0.5,2020-02-22,0.42,1,18.5593181592249
0.59,0.5,2020-02-22,0.42,1,16.7786828088953
0.6,0.5,2020-02-22,0.42,1,15.0989280631609
0.61,0.5,2020-02-22,0.42,1,13.5305445611605
0.62,0.5,2020-02-22,0.42,1,12.0867764386086
0.63,0.5,2020-02-22,0.42,1,10.7829013253355
0.64,0.5,2020-02-22,0.42,1,9.63527450119121
0.65,0.5,2020-02-22,0.42,1,8.65816002438566
0.66,0.5,2020-02-22,0.42,1,7.85721661413143
0.67,0.5,2020-02-22,0.42,1,7.22077822237631
0.68,0.5,2020-02-22,0.42,1,6.70914975248799
0.69,0.5,2020-02-22,0.42,1,6.25547778178015
0.7,0.5,2020-02-22,0.42,1,5.82424989368686
0.71,0.5,2020-02-22,0.42,1,5.41713070404197
0.72,0.5,2020-02-22,0.42,1,5.03736057954269
0.73,0.5,2020-02-22,0.42,1,4.68887602853307
0.74,0.5,2020-02-22,0.42,1,4.376374042934
0.75,0.5,2020-02-22,0.42,1,4.10516369455399
0.76,0.5,2020-02-22,0.42,1,3.88098643830897
0.77,0.5,2020-02-22,0.42,1,3.70939427678141
0.78,0.5,2020-02-22,0.42,1,3.5949472317025
0.79,0.5,2020-02-22,0.42,1,3.5402871900364
0.8,0.5,2020-02-22,0.42,1,3.54537850781872
0.81,0.5,2020-02-22,0.42,1,3.60731344035965
0.82,0.5,2020-02-22,0.42,1,3.72077095898415
0.83,0.5,2020-02-22,0.42,1,3.8789367657393
0.84,0.5,2020-02-22,0.42,1,4.07449770815526
0.85,0.5,2020-02-22,0.42,1,4.30042993227083
0.86,0.5,2020-02-22,0.42,1,4.55045373269532
0.87,0.5,2020-02-22,0.42,1,4.81921258213682
0.88,0.5,2020-02-22,0.42,1,5.10230489172768
0.89,0.5,2020-02-22,0.42,1,5.39613604564051
0.9,0.5,2020-02-22,0.42,1,5.69783602393325
0.91,0.5,2020-02-22,0.42,1,6.00510947045769
0.92,0.5,2020-02-22,0.42,1,6.31612772132319
0.93,0.5,2020-02-22,0.42,1,6.62943221035198
0.94,0.5,2020-02-22,0.42,1,6.94385461704777
0.95,0.5,2020-02-22,0.42,1,7.2584638625654
0.55,0.55,2020-02-22,0.42,1,24.4278509541991
0.56,0.55,2020-02-22,0.42,1,22.3901102854068
0.57,0.55,2020-02-22,0.42,1,20.432062749262
0.58,0.55,2020-02-22,0.42,1,18.5593181592249
0.59,0.55,2020-02-22,0.42,1,16.7786828088953
0.6,0.55,2020-02-22,0.42,1,15.0989280631609
0.61,0.55,2020-02-22,0.42,1,13.5305445611605
0.62,0.55,2020-02-22,0.42,1,12.0867764386086
0.63,0.55,2020-02-22,0.42,1,10.7829013253355
0.64,0.55,2020-02-22,0.42,1,9.63527450119121
0.65,0.55,2020-02-22,0.42,1,8.65816002438566
0.66,0.55,2020-02-22,0.42,1,7.85721661413143
0.67,0.55,2020-02-22,0.42,1,7.22077822237631
0.68,0.55,2020-02-22,0.42,1,6.70914975248799
0.69,0.55,2020-02-22,0.42,1,6.25547778178015
0.7,0.55,2020-02-22,0.42,1,5.82424989368686
0.71,0.55,2020-02-22,0.42,1,5.41713070404197
0.72,0.55,2020-02-22,0.42,1,5.03736057954269
0.73,0.55,2020-02-22,0.42,1,4.68887602853307
0.74,0.55,2020-02-22,0.42,1,4.376374042934
0.75,0.55,2020-02-22,0.42,1,4.10516369455399
0.76,0.55,2020-02-22,0.42,1,3.88098643830897
0.77,0.55,2020-02-22,0.42,1,3.70939427678141
0.78,0.55,2020-02-22,0.42,1,3.5949472317025
0.79,0.55,2020-02-22,0.42,1,3.5402871900364
0.8,0.55,2020-02-22,0.42,1,3.54537850781872
0.81,0.55,2020-02-22,0.42,1,3.60731344035965
0.82,0.55,2020-02-22,0.42,1,3.72077095898415
0.83,0.55,2020-02-22,0.42,1,3.8789367657393
0.84,0.55,2020-02-22,0.42,1,4.07449770815526
0.85,0.55,2020-02-22,0.42,1,4.30042993227083
0.86,0.55,2020-02-22,0.42,1,4.55045373269532
0.87,0.55,2020-02-22,0.42,1,4.81921258213682
0.88,0.55,2020-02-22,0.42,1,5.10230489172768
0.89,0.55,2020-02-22,0.42,1,5.39613604564051
0.9,0.55,2020-02-22,0.42,1,5.69783602393325
0.91,0.55,2020-02-22,0.42,1,6.00510947045769
0.92,0.55,2020-02-22,0.42,1,6.31612772132319
0.93,0.55,2020-02-22,0.42,1,6.62943221035198
0.94,0.55,2020-02-22,0.42,1,6.94385461704777
0.95,0.55,2020-02-22,0.42,1,7.2584638625654
0.55,0.6,2020-02-22,0.42,1,24.4278509541991
0.56,0.6,2020-02-22,0.42,1,22.3901102854068
0.57,0.6,2020-02-22,0.42,1,20.432062749262
0.58,0.6,2020-02-22,0.42,1,18.5593181592249
0.59,0.6,2020-02-22,0.42,1,16.7786828088953
0.6,0.6,2020-02-22,0.42,1,15.0989280631609
0.61,0.6,2020-02-22,0.42,1,13.5305445611605
0.62,0.6,2020-02-22,0.42,1,12.0867764386086
0.63,0.6,2020-02-22,0.42,1,10.7829013253355
0.64,0.6,2020-02-22,0.42,1,9.63527450119121
0.65,0.6,2020-02-22,0.42,1,8.65816002438566
0.66,0.6,2020-02-22,0.42,1,7.85721661413143
0.67,0.6,2020-02-22,0.42,1,7.22077822237631
0.68,0.6,2020-02-22,0.42,1,6.70914975248799
0.69,0.6,2020-02-22,0.42,1,6.25547778178015
0.7,0.6,2020-02-22,0.42,1,5.82424989368686
0.71,0.6,2020-02-22,0.42,1,5.41713070404197
0.72,0.6,2020-02-22,0.42,1,5.03736057954269
0.73,0.6,2020-02-22,0.42,1,4.68887602853307
0.74,0.6,2020-02-22,0.42,1,4.376374042934
0.75,0.6,2020-02-22,0.42,1,4.10516369455399
0.76,0.6,2020-02-22,0.42,1,3.88098643830897
0.77,0.6,2020-02-22,0.42,1,3.70939427678141
0.78,0.6,2020-02-22,0.42,1,3.5949472317025
0.79,0.6,2020-02-22,0.42,1,3.5402871900364
0.8,0.6,2020-02-22,0.42,1,3.54537850781872
0.81,0.6,2020-02-22,0.42,1,3.60731344035965
0.82,0.6,2020-02-22,0.42,1,3.72077095898415
0.83,0.6,2020-02-22,0.42,1,3.8789367657393
0.84,0.6,2020-02-22,0.42,1,4.07449770815526
0.85,0.6,2020-02-22,0.42,1,4.30042993227083
0.86,0.6,2020-02-22,0.42,1,4.55045373269532
0.87,0.6,2020-02-22,0.42,1,4.81921258213682
0.88,0.6,2020-02-22,0.42,1,5.10230489172768
0.89,0.6,2020-02-22,0.42,1,5.39613604564051
0.9,0.6,2020-02-22,0.42,1,5.69783602393325
0.91,0.6,2020-02-22,0.42,1,6.00510947045769
0.92,0.6,2020-02-22,0.42,1,6.31612772132319
0.93,0.6,2020-02-22,0.42,1,6.62943221035198
0.94,0.6,2020-02-22,0.42,1,6.94385461704777
0.95,0.6,2020-02-22,0.42,1,7.2584638625654
0.55,0.65,2020-02-22,0.42,1,24.4278509541991
0.56,0.65,2020-02-22,0.42,1,22.3901102854068
0.57,0.65,2020-02-22,0.42,1,20.432062749262
0.58,0.65,2020-02-22,0.42,1,18.5593181592249
0.59,0.65,2020-02-22,0.42,1,16.7786828088953
0.6,0.65,2020-02-22,0.42,1,15.0989280631609
0.61,0.65,2020-02-22,0.42,1,13.5305445611605
0.62,0.65,2020-02-22,0.42,1,12.0867764386086
0.63,0.65,2020-02-22,0.42,1,10.7829013253355
0.64,0.65,2020-02-22,0.42,1,9.63527450119121
0.65,0.65,2020-02-22,0.42,1,8.65816002438566
0.66,0.65,2020-02-22,0.42,1,7.85721661413143
0.67,0.65,2020-02-22,0.42,1,7.22077822237631
0.68,0.65,2020-02-22,0.42,1,6.70914975248799
0.69,0.65,2020-02-22,0.42,1,6.25547778178015
0.7,0.65,2020-02-22,0.42,1,5.82424989368686
0.71,0.65,2020-02-22,0.42,1,5.41713070404197
0.72,0.65,2020-02-22,0.42,1,5.03736057954269
0.73,0.65,2020-02-22,0.42,1,4.68887602853307
0.74,0.65,2020-02-22,0.42,1,4.376374042934
0.75,0.65,2020-02-22,0.42,1,4.10516369455399
0.76,0.65,2020-02-22,0.42,1,3.88098643830897
0.77,0.65,2020-02-22,0.42,1,3.70939427678141
0.78,0.65,2020-02-22,0.42,1,3.5949472317025
0.79,0.65,2020-02-22,0.42,1,3.5402871900364
0.8,0.65,2020-02-22,0.42,1,3.54537850781872
0.81,0.65,2020-02-22,0.42,1,3.60731344035965
0.82,0.65,2020-02-22,0.42,1,3.72077095898415
0.83,0.65,2020-02-22,0.42,1,3.8789367657393
0.84,0.65,2020-02-22,0.42,1,4.07449770815526
0.85,0.65,2020-02-22,0.42,1,4.30042993227083
0.86,0.65,2020-02-22,0.42,1,4.55045373269532
0.87,0.65,2020-02-22,0.42,1,4.81921258213682
0.88,0.65,2020-02-22,0.42,1,5.10230489172768
0.89,0.65,2020-02-22,0.42,1,5.39613604564051
0.9,0.65,2020-02-22,0.42,1,5.69783602393325
0.91,0.65,2020-02-22,0.42,1,6.00510947045769
0.92,0.65,2020-02-22,0.42,1,6.31612772132319
0.93,0.65,2020-02-22,0.42,1,6.62943221035198
0.94,0.65,2020-02-22,0.42,1,6.94385461704777
0.95,0.65,2020-02-22,0.42,1,7.2584638625654
0.55,0.7,2020-02-22,0.42,1,24.4278509541991
0.56,0.7,2020-02-22,0.42,1,22.3901102854068
0.57,0.7,2020-02-22,0.42,1,20.432062749262
0.58,0.7,2020-02-22,0.42,1,18.5593181592249
0.59,0.7,2020-02-22,0.42,1,16.7786828088953
0.6,0.7,2020-02-22,0.42,1,15.0989280631609
0.61,0.7,2020-02-22,0.42,1,13.5305445611605
0.62,0.7,2020-02-22,0.42,1,12.0867764386086
0.63,0.7,2020-02-22,0.42,1,10.7829013253355
0.64,0.7,2020-02-22,0.42,1,9.63527450119121
0.65,0.7,2020-02-22,0.42,1,8.65816002438566
0.66,0.7,2020-02-22,0.42,1,7.85721661413143
0.67,0.7,2020-02-22,0.42,1,7.22077822237631
0.68,0.7,2020-02-22,0.42,1,6.70914975248799
0.69,0.7,2020-02-22,0.42,1,6.25547778178015
0.7,0.7,2020-02-22,0.42,1,5.82424989368686
0.71,0.7,2020-02-22,0.42,1,5.41713070404197
0.72,0.7,2020-02-22,0.42,1,5.03736057954269
0.73,0.7,2020-02-22,0.42,1,4.68887602853307
0.74,0.7,2020-02-22,0.42,1,4.376374042934
0.75,0.7,2020-02-22,0.42,1,4.10516369455399
0.76,0.7,2020-02-22,0.42,1,3.88098643830897
0.77,0.7,2020-02-22,0.42,1,3.70939427678141
0.78,0.7,2020-02-22,0.42,1,3.5949472317025
0.79,0.7,2020-02-22,0.42,1,3.5402871900364
0.8,0.7,2020-02-22,0.42,1,3.54537850781872
0.81,0.7,2020-02-22,0.42,1,3.60731344035965
0.82,0.7,2020-02-22,0.42,1,3.72077095898415
0.83,0.7,2020-02-22,0.42,1,3.8789367657393
0.84,0.7,2020-02-22,0.42,1,4.07449770815526
0.85,0.7,2020-02-22,0.42,1,4.30042993227083
0.86,0.7,2020-02-22,0.42,1,4.55045373269532
0.87,0.7,2020-02-22,0.42,1,4.81921258213682
0.88,0.7,2020-02-22,0.42,1,5.10230489172768
0.89,0.7,2020-02-22,0.42,1,5.39613604564051
0.9,0.7,2020-02-22,0.42,1,5.69783602393325
0.91,0.7,2020-02-22,0.42,1,6.00510947045769
0.92,0.7,2020-02-22,0.42,1,6.31612772132319
0.93,0.7,2020-02-22,0.42,1,6.62943221035198
0.94,0.7,2020-02-22,0.42,1,6.94385461704777
0.95,0.7,2020-02-22,0.42,1,7.2584638625654
0.55,0.75,2020-02-22,0.42,1,24.4278509541991
0.56,0.75,2020-02-22,0.42,1,22.3901102854068
0.57,0.75,2020-02-22,0.42,1,20.432062749262
0.58,0.75,2020-02-22,0.42,1,18.5593181592249
0.59,0.75,2020-02-22,0.42,1,16.7786828088953
0.6,0.75,2020-02-22,0.42,1,15.0989280631609
0.61,0.75,2020-02-22,0.42,1,13.5305445611605
0.62,0.75,2020-02-22,0.42,1,12.0867764386086
0.63,0.75,2020-02-22,0.42,1,10.7829013253355
0.64,0.75,2020-02-22,0.42,1,9.63527450119121
0.65,0.75,2020-02-22,0.42,1,8.65816002438566
0.66,0.75,2020-02-22,0.42,1,7.85721661413143
0.67,0.75,2020-02-22,0.42,1,7.22077822237631
0.68,0.75,2020-02-22,0.42,1,6.70914975248799
0.69,0.75,2020-02-22,0.42,1,6.25547778178015
0.7,0.75,2020-02-22,0.42,1,5.82424989368686
0.71,0.75,2020-02-22,0.42,1,5.41713070404197
0.72,0.75,2020-02-22,0.42,1,5.03736057954269
0.73,0.75,2020-02-22,0.42,1,4.68887602853307
0.74,0.75,2020-02-22,0.42,1,4.376374042934
0.75,0.75,2020-02-22,0.42,1,4.10516369455399
0.76,0.75,2020-02-22,0.42,1,3.88098643830897
0.77,0.75,2020-02-22,0.42,1,3.70939427678141
0.78,0.75,2020-02-22,0.42,1,3.5949472317025
0.79,0.75,2020-02-22,0.42,1,3.5402871900364
0.8,0.75,2020-02-22,0.42,1,3.54537850781872
0.81,0.75,2020-02-22,0.42,1,3.60731344035965
0.82,0.75,2020-02-22,0.42,1,3.72077095898415
0.83,0.75,2020-02-22,0.42,1,3.8789367657393
0.84,0.75,2020-02-22,0.42,1,4.07449770815526
0.85,0.75,2020-02-22,0.42,1,4.30042993227083
0.86,0.75,2020-02-22,0.42,1,4.55045373269532
0.87,0.75,2020-02-22,0.42,1,4.81921258213682
0.88,0.75,2020-02-22,0.42,1,5.10230489172768
0.89,0.75,2020-02-22,0.42,1,5.39613604564051
0.9,0.75,2020-02-22,0.42,1,5.69783602393325
0.91,0.75,2020-02-22,0.42,1,6.00510947045769
0.92,0.75,2020-02-22,0.42,1,6.31612772132319
0.93,0.75,2020-02-22,0.42,1,6.62943221035198
0.94,0.75,2020-02-22,0.42,1,6.94385461704777
0.95,0.75,2020-02-22,0.42,1,7.2584638625654
