"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.64,0.3,2020-03-07,0.48,3,15.1547572528649
0.65,0.3,2020-03-07,0.48,3,14.6018824974522
0.66,0.3,2020-03-07,0.48,3,14.0679553890727
0.67,0.3,2020-03-07,0.48,3,13.5428901046095
0.68,0.3,2020-03-07,0.48,3,13.0264974897482
0.69,0.3,2020-03-07,0.48,3,12.5186950133112
0.7,0.3,2020-03-07,0.48,3,12.0193954368898
0.71,0.3,2020-03-07,0.48,3,11.5285155422898
0.72,0.3,2020-03-07,0.48,3,11.0459837635814
0.73,0.3,2020-03-07,0.48,3,10.5717219927114
0.74,0.3,2020-03-07,0.48,3,10.1056645356919
0.75,0.3,2020-03-07,0.48,3,9.64775521057448
0.76,0.3,2020-03-07,0.48,3,9.19794702764237
0.77,0.3,2020-03-07,0.48,3,8.75619241023528
0.78,0.3,2020-03-07,0.48,3,8.32246184100517
0.79,0.3,2020-03-07,0.48,3,7.8967394919405
0.8,0.3,2020-03-07,0.48,3,7.47900899252625
0.81,0.3,2020-03-07,0.48,3,7.06931061968414
0.82,0.3,2020-03-07,0.48,3,6.66762934072776
0.83,0.3,2020-03-07,0.48,3,6.27405414938775
0.84,0.3,2020-03-07,0.48,3,5.88866016861352
0.85,0.3,2020-03-07,0.48,3,5.51157790132794
0.86,0.3,2020-03-07,0.48,3,5.14297977061117
0.87,0.3,2020-03-07,0.48,3,4.78310012888773
0.88,0.3,2020-03-07,0.48,3,4.43226291821458
0.89,0.3,2020-03-07,0.48,3,4.0908863137483
0.9,0.3,2020-03-07,0.48,3,3.75954215847413
0.91,0.3,2020-03-07,0.48,3,3.43899391077461
0.92,0.3,2020-03-07,0.48,3,3.1302711770702
0.93,0.3,2020-03-07,0.48,3,2.83480799065261
0.94,0.3,2020-03-07,0.48,3,2.55523752874818
0.95,0.3,2020-03-07,0.48,3,2.29783897725626
0.55,0.35,2020-03-07,0.48,3,23.868748294631
0.56,0.35,2020-03-07,0.48,3,22.4940840465694
0.57,0.35,2020-03-07,0.48,3,21.2209347753725
0.58,0.35,2020-03-07,0.48,3,20.0518090510899
0.59,0.35,2020-03-07,0.48,3,18.9885792527479
0.6,0.35,2020-03-07,0.48,3,18.0311974931018
0.61,0.35,2020-03-07,0.48,3,17.1775423254598
0.62,0.35,2020-03-07,0.48,3,16.4217758607032
0.63,0.35,2020-03-07,0.48,3,15.7532285617078
0.64,0.35,2020-03-07,0.48,3,15.1547572528649
0.65,0.35,2020-03-07,0.48,3,14.6018824974522
0.66,0.35,2020-03-07,0.48,3,14.0679553890727
0.67,0.35,2020-03-07,0.48,3,13.5428901046095
0.68,0.35,2020-03-07,0.48,3,13.0264974897482
0.69,0.35,2020-03-07,0.48,3,12.5186950133112
0.7,0.35,2020-03-07,0.48,3,12.0193954368898
0.71,0.35,2020-03-07,0.48,3,11.5285155422898
0.72,0.35,2020-03-07,0.48,3,11.0459837635814
0.73,0.35,2020-03-07,0.48,3,10.5717219927114
0.74,0.35,2020-03-07,0.48,3,10.1056645356919
0.75,0.35,2020-03-07,0.48,3,9.64775521057448
0.76,0.35,2020-03-07,0.48,3,9.19794702764237
0.77,0.35,2020-03-07,0.48,3,8.75619241023528
0.78,0.35,2020-03-07,0.48,3,8.32246184100517
0.79,0.35,2020-03-07,0.48,3,7.8967394919405
0.8,0.35,2020-03-07,0.48,3,7.47900899252625
0.81,0.35,2020-03-07,0.48,3,7.06931061968414
0.82,0.35,2020-03-07,0.48,3,6.66762934072776
0.83,0.35,2020-03-07,0.48,3,6.27405414938775
0.84,0.35,2020-03-07,0.48,3,5.88866016861352
0.85,0.35,2020-03-07,0.48,3,5.51157790132794
0.86,0.35,2020-03-07,0.48,3,5.14297977061117
0.87,0.35,2020-03-07,0.48,3,4.78310012888773
0.88,0.35,2020-03-07,0.48,3,4.43226291821458
0.89,0.35,2020-03-07,0.48,3,4.0908863137483
0.9,0.35,2020-03-07,0.48,3,3.75954215847413
0.91,0.35,2020-03-07,0.48,3,3.43899391077461
0.92,0.35,2020-03-07,0.48,3,3.1302711770702
0.93,0.35,2020-03-07,0.48,3,2.83480799065261
0.94,0.35,2020-03-07,0.48,3,2.55523752874818
0.95,0.35,2020-03-07,0.48,3,2.29783897725626
0.55,0.4,2020-03-07,0.48,3,23.868748294631
0.56,0.4,2020-03-07,0.48,3,22.4940840465694
0.57,0.4,2020-03-07,0.48,3,21.2209347753725
0.58,0.4,2020-03-07,0.48,3,20.0518090510899
0.59,0.4,2020-03-07,0.48,3,18.9885792527479
0.6,0.4,2020-03-07,0.48,3,18.0311974931018
0.61,0.4,2020-03-07,0.48,3,17.1775423254598
0.62,0.4,2020-03-07,0.48,3,16.4217758607032
0.63,0.4,2020-03-07,0.48,3,15.7532285617078
0.64,0.4,2020-03-07,0.48,3,15.1547572528649
0.65,0.4,2020-03-07,0.48,3,14.6018824974522
0.66,0.4,2020-03-07,0.48,3,14.0679553890727
0.67,0.4,2020-03-07,0.48,3,13.5428901046095
0.68,0.4,2020-03-07,0.48,3,13.0264974897482
0.69,0.4,2020-03-07,0.48,3,12.5186950133112
0.7,0.4,2020-03-07,0.48,3,12.0193954368898
0.71,0.4,2020-03-07,0.48,3,11.5285155422898
0.72,0.4,2020-03-07,0.48,3,11.0459837635814
0.73,0.4,2020-03-07,0.48,3,10.5717219927114
0.74,0.4,2020-03-07,0.48,3,10.1056645356919
0.75,0.4,2020-03-07,0.48,3,9.64775521057448
0.76,0.4,2020-03-07,0.48,3,9.19794702764237
0.77,0.4,2020-03-07,0.48,3,8.75619241023528
0.78,0.4,2020-03-07,0.48,3,8.32246184100517
0.79,0.4,2020-03-07,0.48,3,7.8967394919405
0.8,0.4,2020-03-07,0.48,3,7.47900899252625
0.81,0.4,2020-03-07,0.48,3,7.06931061968414
0.82,0.4,2020-03-07,0.48,3,6.66762934072776
0.83,0.4,2020-03-07,0.48,3,6.27405414938775
0.84,0.4,2020-03-07,0.48,3,5.88866016861352
0.85,0.4,2020-03-07,0.48,3,5.51157790132794
0.86,0.4,2020-03-07,0.48,3,5.14297977061117
0.87,0.4,2020-03-07,0.48,3,4.78310012888773
0.88,0.4,2020-03-07,0.48,3,4.43226291821458
0.89,0.4,2020-03-07,0.48,3,4.0908863137483
0.9,0.4,2020-03-07,0.48,3,3.75954215847413
0.91,0.4,2020-03-07,0.48,3,3.43899391077461
0.92,0.4,2020-03-07,0.48,3,3.1302711770702
0.93,0.4,2020-03-07,0.48,3,2.83480799065261
0.94,0.4,2020-03-07,0.48,3,2.55523752874818
0.95,0.4,2020-03-07,0.48,3,2.29783897725626
0.55,0.45,2020-03-07,0.48,3,23.868748294631
0.56,0.45,2020-03-07,0.48,3,22.4940840465694
0.57,0.45,2020-03-07,0.48,3,21.2209347753725
0.58,0.45,2020-03-07,0.48,3,20.0518090510899
0.59,0.45,2020-03-07,0.48,3,18.9885792527479
0.6,0.45,2020-03-07,0.48,3,18.0311974931018
0.61,0.45,2020-03-07,0.48,3,17.1775423254598
0.62,0.45,2020-03-07,0.48,3,16.4217758607032
0.63,0.45,2020-03-07,0.48,3,15.7532285617078
0.64,0.45,2020-03-07,0.48,3,15.1547572528649
0.65,0.45,2020-03-07,0.48,3,14.6018824974522
0.66,0.45,2020-03-07,0.48,3,14.0679553890727
0.67,0.45,2020-03-07,0.48,3,13.5428901046095
0.68,0.45,2020-03-07,0.48,3,13.0264974897482
0.69,0.45,2020-03-07,0.48,3,12.5186950133112
0.7,0.45,2020-03-07,0.48,3,12.0193954368898
0.71,0.45,2020-03-07,0.48,3,11.5285155422898
0.72,0.45,2020-03-07,0.48,3,11.0459837635814
0.73,0.45,2020-03-07,0.48,3,10.5717219927114
0.74,0.45,2020-03-07,0.48,3,10.1056645356919
0.75,0.45,2020-03-07,0.48,3,9.64775521057448
0.76,0.45,2020-03-07,0.48,3,9.19794702764237
0.77,0.45,2020-03-07,0.48,3,8.75619241023528
0.78,0.45,2020-03-07,0.48,3,8.32246184100517
0.79,0.45,2020-03-07,0.48,3,7.8967394919405
0.8,0.45,2020-03-07,0.48,3,7.47900899252625
0.81,0.45,2020-03-07,0.48,3,7.06931061968414
0.82,0.45,2020-03-07,0.48,3,6.66762934072776
0.83,0.45,2020-03-07,0.48,3,6.27405414938775
0.84,0.45,2020-03-07,0.48,3,5.88866016861352
0.85,0.45,2020-03-07,0.48,3,5.51157790132794
0.86,0.45,2020-03-07,0.48,3,5.14297977061117
0.87,0.45,2020-03-07,0.48,3,4.78310012888773
0.88,0.45,2020-03-07,0.48,3,4.43226291821458
0.89,0.45,2020-03-07,0.48,3,4.0908863137483
0.9,0.45,2020-03-07,0.48,3,3.75954215847413
0.91,0.45,2020-03-07,0.48,3,3.43899391077461
0.92,0.45,2020-03-07,0.48,3,3.1302711770702
0.93,0.45,2020-03-07,0.48,3,2.83480799065261
0.94,0.45,2020-03-07,0.48,3,2.55523752874818
0.95,0.45,2020-03-07,0.48,3,2.29783897725626
0.55,0.5,2020-03-07,0.48,3,23.868748294631
0.56,0.5,2020-03-07,0.48,3,22.4940840465694
0.57,0.5,2020-03-07,0.48,3,21.2209347753725
0.58,0.5,2020-03-07,0.48,3,20.0518090510899
0.59,0.5,2020-03-07,0.48,3,18.9885792527479
0.6,0.5,2020-03-07,0.48,3,18.0311974931018
0.61,0.5,2020-03-07,0.48,3,17.1775423254598
0.62,0.5,2020-03-07,0.48,3,16.4217758607032
0.63,0.5,2020-03-07,0.48,3,15.7532285617078
0.64,0.5,2020-03-07,0.48,3,15.1547572528649
0.65,0.5,2020-03-07,0.48,3,14.6018824974522
0.66,0.5,2020-03-07,0.48,3,14.0679553890727
0.67,0.5,2020-03-07,0.48,3,13.5428901046095
0.68,0.5,2020-03-07,0.48,3,13.0264974897482
0.69,0.5,2020-03-07,0.48,3,12.5186950133112
0.7,0.5,2020-03-07,0.48,3,12.0193954368898
0.71,0.5,2020-03-07,0.48,3,11.5285155422898
0.72,0.5,2020-03-07,0.48,3,11.0459837635814
0.73,0.5,2020-03-07,0.48,3,10.5717219927114
0.74,0.5,2020-03-07,0.48,3,10.1056645356919
0.75,0.5,2020-03-07,0.48,3,9.64775521057448
0.76,0.5,2020-03-07,0.48,3,9.19794702764237
0.77,0.5,2020-03-07,0.48,3,8.75619241023528
0.78,0.5,2020-03-07,0.48,3,8.32246184100517
0.79,0.5,2020-03-07,0.48,3,7.8967394919405
0.8,0.5,2020-03-07,0.48,3,7.47900899252625
0.81,0.5,2020-03-07,0.48,3,7.06931061968414
0.82,0.5,2020-03-07,0.48,3,6.66762934072776
0.83,0.5,2020-03-07,0.48,3,6.27405414938775
0.84,0.5,2020-03-07,0.48,3,5.88866016861352
0.85,0.5,2020-03-07,0.48,3,5.51157790132794
0.86,0.5,2020-03-07,0.48,3,5.14297977061117
0.87,0.5,2020-03-07,0.48,3,4.78310012888773
0.88,0.5,2020-03-07,0.48,3,4.43226291821458
0.89,0.5,2020-03-07,0.48,3,4.0908863137483
0.9,0.5,2020-03-07,0.48,3,3.75954215847413
0.91,0.5,2020-03-07,0.48,3,3.43899391077461
0.92,0.5,2020-03-07,0.48,3,3.1302711770702
0.93,0.5,2020-03-07,0.48,3,2.83480799065261
0.94,0.5,2020-03-07,0.48,3,2.55523752874818
0.95,0.5,2020-03-07,0.48,3,2.29783897725626
0.55,0.55,2020-03-07,0.48,3,23.868748294631
0.56,0.55,2020-03-07,0.48,3,22.4940840465694
0.57,0.55,2020-03-07,0.48,3,21.2209347753725
0.58,0.55,2020-03-07,0.48,3,20.0518090510899
0.59,0.55,2020-03-07,0.48,3,18.9885792527479
0.6,0.55,2020-03-07,0.48,3,18.0311974931018
0.61,0.55,2020-03-07,0.48,3,17.1775423254598
0.62,0.55,2020-03-07,0.48,3,16.4217758607032
0.63,0.55,2020-03-07,0.48,3,15.7532285617078
0.64,0.55,2020-03-07,0.48,3,15.1547572528649
0.65,0.55,2020-03-07,0.48,3,14.6018824974522
0.66,0.55,2020-03-07,0.48,3,14.0679553890727
0.67,0.55,2020-03-07,0.48,3,13.5428901046095
0.68,0.55,2020-03-07,0.48,3,13.0264974897482
0.69,0.55,2020-03-07,0.48,3,12.5186950133112
0.7,0.55,2020-03-07,0.48,3,12.0193954368898
0.71,0.55,2020-03-07,0.48,3,11.5285155422898
0.72,0.55,2020-03-07,0.48,3,11.0459837635814
0.73,0.55,2020-03-07,0.48,3,10.5717219927114
0.74,0.55,2020-03-07,0.48,3,10.1056645356919
0.75,0.55,2020-03-07,0.48,3,9.64775521057448
0.76,0.55,2020-03-07,0.48,3,9.19794702764237
0.77,0.55,2020-03-07,0.48,3,8.75619241023528
0.78,0.55,2020-03-07,0.48,3,8.32246184100517
0.79,0.55,2020-03-07,0.48,3,7.8967394919405
0.8,0.55,2020-03-07,0.48,3,7.47900899252625
0.81,0.55,2020-03-07,0.48,3,7.06931061968414
0.82,0.55,2020-03-07,0.48,3,6.66762934072776
0.83,0.55,2020-03-07,0.48,3,6.27405414938775
0.84,0.55,2020-03-07,0.48,3,5.88866016861352
0.85,0.55,2020-03-07,0.48,3,5.51157790132794
0.86,0.55,2020-03-07,0.48,3,5.14297977061117
0.87,0.55,2020-03-07,0.48,3,4.78310012888773
0.88,0.55,2020-03-07,0.48,3,4.43226291821458
0.89,0.55,2020-03-07,0.48,3,4.0908863137483
0.9,0.55,2020-03-07,0.48,3,3.75954215847413
0.91,0.55,2020-03-07,0.48,3,3.43899391077461
0.92,0.55,2020-03-07,0.48,3,3.1302711770702
0.93,0.55,2020-03-07,0.48,3,2.83480799065261
0.94,0.55,2020-03-07,0.48,3,2.55523752874818
0.95,0.55,2020-03-07,0.48,3,2.29783897725626
0.55,0.6,2020-03-07,0.48,3,23.868748294631
0.56,0.6,2020-03-07,0.48,3,22.4940840465694
0.57,0.6,2020-03-07,0.48,3,21.2209347753725
0.58,0.6,2020-03-07,0.48,3,20.0518090510899
0.59,0.6,2020-03-07,0.48,3,18.9885792527479
0.6,0.6,2020-03-07,0.48,3,18.0311974931018
0.61,0.6,2020-03-07,0.48,3,17.1775423254598
0.62,0.6,2020-03-07,0.48,3,16.4217758607032
0.63,0.6,2020-03-07,0.48,3,15.7532285617078
0.64,0.6,2020-03-07,0.48,3,15.1547572528649
0.65,0.6,2020-03-07,0.48,3,14.6018824974522
0.66,0.6,2020-03-07,0.48,3,14.0679553890727
0.67,0.6,2020-03-07,0.48,3,13.5428901046095
0.68,0.6,2020-03-07,0.48,3,13.0264974897482
0.69,0.6,2020-03-07,0.48,3,12.5186950133112
0.7,0.6,2020-03-07,0.48,3,12.0193954368898
0.71,0.6,2020-03-07,0.48,3,11.5285155422898
0.72,0.6,2020-03-07,0.48,3,11.0459837635814
0.73,0.6,2020-03-07,0.48,3,10.5717219927114
0.74,0.6,2020-03-07,0.48,3,10.1056645356919
0.75,0.6,2020-03-07,0.48,3,9.64775521057448
0.76,0.6,2020-03-07,0.48,3,9.19794702764237
0.77,0.6,2020-03-07,0.48,3,8.75619241023528
0.78,0.6,2020-03-07,0.48,3,8.32246184100517
0.79,0.6,2020-03-07,0.48,3,7.8967394919405
0.8,0.6,2020-03-07,0.48,3,7.47900899252625
0.81,0.6,2020-03-07,0.48,3,7.06931061968414
0.82,0.6,2020-03-07,0.48,3,6.66762934072776
0.83,0.6,2020-03-07,0.48,3,6.27405414938775
0.84,0.6,2020-03-07,0.48,3,5.88866016861352
0.85,0.6,2020-03-07,0.48,3,5.51157790132794
0.86,0.6,2020-03-07,0.48,3,5.14297977061117
0.87,0.6,2020-03-07,0.48,3,4.78310012888773
0.88,0.6,2020-03-07,0.48,3,4.43226291821458
0.89,0.6,2020-03-07,0.48,3,4.0908863137483
0.9,0.6,2020-03-07,0.48,3,3.75954215847413
0.91,0.6,2020-03-07,0.48,3,3.43899391077461
0.92,0.6,2020-03-07,0.48,3,3.1302711770702
0.93,0.6,2020-03-07,0.48,3,2.83480799065261
0.94,0.6,2020-03-07,0.48,3,2.55523752874818
0.95,0.6,2020-03-07,0.48,3,2.29783897725626
0.55,0.65,2020-03-07,0.48,3,23.868748294631
0.56,0.65,2020-03-07,0.48,3,22.4940840465694
0.57,0.65,2020-03-07,0.48,3,21.2209347753725
0.58,0.65,2020-03-07,0.48,3,20.0518090510899
0.59,0.65,2020-03-07,0.48,3,18.9885792527479
0.6,0.65,2020-03-07,0.48,3,18.0311974931018
0.61,0.65,2020-03-07,0.48,3,17.1775423254598
0.62,0.65,2020-03-07,0.48,3,16.4217758607032
0.63,0.65,2020-03-07,0.48,3,15.7532285617078
0.64,0.65,2020-03-07,0.48,3,15.1547572528649
0.65,0.65,2020-03-07,0.48,3,14.6018824974522
0.66,0.65,2020-03-07,0.48,3,14.0679553890727
0.67,0.65,2020-03-07,0.48,3,13.5428901046095
0.68,0.65,2020-03-07,0.48,3,13.0264974897482
0.69,0.65,2020-03-07,0.48,3,12.5186950133112
0.7,0.65,2020-03-07,0.48,3,12.0193954368898
0.71,0.65,2020-03-07,0.48,3,11.5285155422898
0.72,0.65,2020-03-07,0.48,3,11.0459837635814
0.73,0.65,2020-03-07,0.48,3,10.5717219927114
0.74,0.65,2020-03-07,0.48,3,10.1056645356919
0.75,0.65,2020-03-07,0.48,3,9.64775521057448
0.76,0.65,2020-03-07,0.48,3,9.19794702764237
0.77,0.65,2020-03-07,0.48,3,8.75619241023528
0.78,0.65,2020-03-07,0.48,3,8.32246184100517
0.79,0.65,2020-03-07,0.48,3,7.8967394919405
0.8,0.65,2020-03-07,0.48,3,7.47900899252625
0.81,0.65,2020-03-07,0.48,3,7.06931061968414
0.82,0.65,2020-03-07,0.48,3,6.66762934072776
0.83,0.65,2020-03-07,0.48,3,6.27405414938775
0.84,0.65,2020-03-07,0.48,3,5.88866016861352
0.85,0.65,2020-03-07,0.48,3,5.51157790132794
0.86,0.65,2020-03-07,0.48,3,5.14297977061117
0.87,0.65,2020-03-07,0.48,3,4.78310012888773
0.88,0.65,2020-03-07,0.48,3,4.43226291821458
0.89,0.65,2020-03-07,0.48,3,4.0908863137483
0.9,0.65,2020-03-07,0.48,3,3.75954215847413
0.91,0.65,2020-03-07,0.48,3,3.43899391077461
0.92,0.65,2020-03-07,0.48,3,3.1302711770702
0.93,0.65,2020-03-07,0.48,3,2.83480799065261
0.94,0.65,2020-03-07,0.48,3,2.55523752874818
0.95,0.65,2020-03-07,0.48,3,2.29783897725626
0.55,0.7,2020-03-07,0.48,3,23.868748294631
0.56,0.7,2020-03-07,0.48,3,22.4940840465694
0.57,0.7,2020-03-07,0.48,3,21.2209347753725
0.58,0.7,2020-03-07,0.48,3,20.0518090510899
0.59,0.7,2020-03-07,0.48,3,18.9885792527479
0.6,0.7,2020-03-07,0.48,3,18.0311974931018
0.61,0.7,2020-03-07,0.48,3,17.1775423254598
0.62,0.7,2020-03-07,0.48,3,16.4217758607032
0.63,0.7,2020-03-07,0.48,3,15.7532285617078
0.64,0.7,2020-03-07,0.48,3,15.1547572528649
0.65,0.7,2020-03-07,0.48,3,14.6018824974522
0.66,0.7,2020-03-07,0.48,3,14.0679553890727
0.67,0.7,2020-03-07,0.48,3,13.5428901046095
0.68,0.7,2020-03-07,0.48,3,13.0264974897482
0.69,0.7,2020-03-07,0.48,3,12.5186950133112
0.7,0.7,2020-03-07,0.48,3,12.0193954368898
0.71,0.7,2020-03-07,0.48,3,11.5285155422898
0.72,0.7,2020-03-07,0.48,3,11.0459837635814
0.73,0.7,2020-03-07,0.48,3,10.5717219927114
0.74,0.7,2020-03-07,0.48,3,10.1056645356919
0.75,0.7,2020-03-07,0.48,3,9.64775521057448
0.76,0.7,2020-03-07,0.48,3,9.19794702764237
0.77,0.7,2020-03-07,0.48,3,8.75619241023528
0.78,0.7,2020-03-07,0.48,3,8.32246184100517
0.79,0.7,2020-03-07,0.48,3,7.8967394919405
0.8,0.7,2020-03-07,0.48,3,7.47900899252625
0.81,0.7,2020-03-07,0.48,3,7.06931061968414
0.82,0.7,2020-03-07,0.48,3,6.66762934072776
0.83,0.7,2020-03-07,0.48,3,6.27405414938775
0.84,0.7,2020-03-07,0.48,3,5.88866016861352
0.85,0.7,2020-03-07,0.48,3,5.51157790132794
0.86,0.7,2020-03-07,0.48,3,5.14297977061117
0.87,0.7,2020-03-07,0.48,3,4.78310012888773
0.88,0.7,2020-03-07,0.48,3,4.43226291821458
0.89,0.7,2020-03-07,0.48,3,4.0908863137483
0.9,0.7,2020-03-07,0.48,3,3.75954215847413
0.91,0.7,2020-03-07,0.48,3,3.43899391077461
0.92,0.7,2020-03-07,0.48,3,3.1302711770702
0.93,0.7,2020-03-07,0.48,3,2.83480799065261
0.94,0.7,2020-03-07,0.48,3,2.55523752874818
0.95,0.7,2020-03-07,0.48,3,2.29783897725626
0.55,0.75,2020-03-07,0.48,3,23.868748294631
0.56,0.75,2020-03-07,0.48,3,22.4940840465694
0.57,0.75,2020-03-07,0.48,3,21.2209347753725
0.58,0.75,2020-03-07,0.48,3,20.0518090510899
0.59,0.75,2020-03-07,0.48,3,18.9885792527479
0.6,0.75,2020-03-07,0.48,3,18.0311974931018
0.61,0.75,2020-03-07,0.48,3,17.1775423254598
0.62,0.75,2020-03-07,0.48,3,16.4217758607032
0.63,0.75,2020-03-07,0.48,3,15.7532285617078
0.64,0.75,2020-03-07,0.48,3,15.1547572528649
0.65,0.75,2020-03-07,0.48,3,14.6018824974522
0.66,0.75,2020-03-07,0.48,3,14.0679553890727
0.67,0.75,2020-03-07,0.48,3,13.5428901046095
0.68,0.75,2020-03-07,0.48,3,13.0264974897482
0.69,0.75,2020-03-07,0.48,3,12.5186950133112
0.7,0.75,2020-03-07,0.48,3,12.0193954368898
0.71,0.75,2020-03-07,0.48,3,11.5285155422898
0.72,0.75,2020-03-07,0.48,3,11.0459837635814
0.73,0.75,2020-03-07,0.48,3,10.5717219927114
0.74,0.75,2020-03-07,0.48,3,10.1056645356919
0.75,0.75,2020-03-07,0.48,3,9.64775521057448
0.76,0.75,2020-03-07,0.48,3,9.19794702764237
0.77,0.75,2020-03-07,0.48,3,8.75619241023528
0.78,0.75,2020-03-07,0.48,3,8.32246184100517
0.79,0.75,2020-03-07,0.48,3,7.8967394919405
0.8,0.75,2020-03-07,0.48,3,7.47900899252625
0.81,0.75,2020-03-07,0.48,3,7.06931061968414
0.82,0.75,2020-03-07,0.48,3,6.66762934072776
0.83,0.75,2020-03-07,0.48,3,6.27405414938775
0.84,0.75,2020-03-07,0.48,3,5.88866016861352
0.85,0.75,2020-03-07,0.48,3,5.51157790132794
0.86,0.75,2020-03-07,0.48,3,5.14297977061117
0.87,0.75,2020-03-07,0.48,3,4.78310012888773
0.88,0.75,2020-03-07,0.48,3,4.43226291821458
0.89,0.75,2020-03-07,0.48,3,4.0908863137483
0.9,0.75,2020-03-07,0.48,3,3.75954215847413
0.91,0.75,2020-03-07,0.48,3,3.43899391077461
0.92,0.75,2020-03-07,0.48,3,3.1302711770702
0.93,0.75,2020-03-07,0.48,3,2.83480799065261
0.94,0.75,2020-03-07,0.48,3,2.55523752874818
0.95,0.75,2020-03-07,0.48,3,2.29783897725626
