"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.68,0.35,2020-02-28,1.15,1,5697.63574403316
0.69,0.35,2020-02-28,1.15,1,5337.80526224093
0.7,0.35,2020-02-28,1.15,1,4991.92096389767
0.71,0.35,2020-02-28,1.15,1,4659.6905068265
0.72,0.35,2020-02-28,1.15,1,4340.79574185348
0.73,0.35,2020-02-28,1.15,1,4034.91399116457
0.74,0.35,2020-02-28,1.15,1,3741.71525130537
0.75,0.35,2020-02-28,1.15,1,3460.85979085918
0.76,0.35,2020-02-28,1.15,1,3192.00827337834
0.77,0.35,2020-02-28,1.15,1,2934.81882197205
0.78,0.35,2020-02-28,1.15,1,2688.95047159625
0.79,0.35,2020-02-28,1.15,1,2454.06702441435
0.8,0.35,2020-02-28,1.15,1,2229.83728761696
0.81,0.35,2020-02-28,1.15,1,2015.94035938591
0.82,0.35,2020-02-28,1.15,1,1812.0711135668
0.83,0.35,2020-02-28,1.15,1,1617.93829011904
0.84,0.35,2020-02-28,1.15,1,1433.2743504136
0.85,0.35,2020-02-28,1.15,1,1257.84286293448
0.86,0.35,2020-02-28,1.15,1,1091.44895379111
0.87,0.35,2020-02-28,1.15,1,933.957098481467
0.88,0.35,2020-02-28,1.15,1,785.325629653947
0.89,0.35,2020-02-28,1.15,1,645.670403870202
0.9,0.35,2020-02-28,1.15,1,515.403210917861
0.91,0.35,2020-02-28,1.15,1,395.610861447429
0.92,0.35,2020-02-28,1.15,1,289.450358057009
0.93,0.35,2020-02-28,1.15,1,221.324303269396
0.94,0.35,2020-02-28,1.15,1,189.950665796112
0.95,0.35,2020-02-28,1.15,1,160.071129615789
0.55,0.4,2020-02-28,1.15,1,11739.3392385663
0.56,0.4,2020-02-28,1.15,1,11181.9660300327
0.57,0.4,2020-02-28,1.15,1,10640.0125667599
0.58,0.4,2020-02-28,1.15,1,10113.6026144113
0.59,0.4,2020-02-28,1.15,1,9602.78071734738
0.6,0.4,2020-02-28,1.15,1,9107.56845775031
0.61,0.4,2020-02-28,1.15,1,8627.93303052318
0.62,0.4,2020-02-28,1.15,1,8163.81836385518
0.63,0.4,2020-02-28,1.15,1,7715.14275095311
0.64,0.4,2020-02-28,1.15,1,7281.76152253142
0.65,0.4,2020-02-28,1.15,1,6863.52415690305
0.66,0.4,2020-02-28,1.15,1,6460.23883534728
0.67,0.4,2020-02-28,1.15,1,6071.68772577943
0.68,0.4,2020-02-28,1.15,1,5697.63574403316
0.69,0.4,2020-02-28,1.15,1,5337.80526224093
0.7,0.4,2020-02-28,1.15,1,4991.92096389767
0.71,0.4,2020-02-28,1.15,1,4659.6905068265
0.72,0.4,2020-02-28,1.15,1,4340.79574185348
0.73,0.4,2020-02-28,1.15,1,4034.91399116457
0.74,0.4,2020-02-28,1.15,1,3741.71525130537
0.75,0.4,2020-02-28,1.15,1,3460.85979085918
0.76,0.4,2020-02-28,1.15,1,3192.00827337834
0.77,0.4,2020-02-28,1.15,1,2934.81882197205
0.78,0.4,2020-02-28,1.15,1,2688.95047159625
0.79,0.4,2020-02-28,1.15,1,2454.06702441435
0.8,0.4,2020-02-28,1.15,1,2229.83728761696
0.81,0.4,2020-02-28,1.15,1,2015.94035938591
0.82,0.4,2020-02-28,1.15,1,1812.0711135668
0.83,0.4,2020-02-28,1.15,1,1617.93829011904
0.84,0.4,2020-02-28,1.15,1,1433.2743504136
0.85,0.4,2020-02-28,1.15,1,1257.84286293448
0.86,0.4,2020-02-28,1.15,1,1091.44895379111
0.87,0.4,2020-02-28,1.15,1,933.957098481467
0.88,0.4,2020-02-28,1.15,1,785.325629653947
0.89,0.4,2020-02-28,1.15,1,645.670403870202
0.9,0.4,2020-02-28,1.15,1,515.403210917861
0.91,0.4,2020-02-28,1.15,1,395.610861447429
0.92,0.4,2020-02-28,1.15,1,289.450358057009
0.93,0.4,2020-02-28,1.15,1,221.324303269396
0.94,0.4,2020-02-28,1.15,1,189.950665796112
0.95,0.4,2020-02-28,1.15,1,160.071129615789
0.55,0.45,2020-02-28,1.15,1,11739.3392385663
0.56,0.45,2020-02-28,1.15,1,11181.9660300327
0.57,0.45,2020-02-28,1.15,1,10640.0125667599
0.58,0.45,2020-02-28,1.15,1,10113.6026144113
0.59,0.45,2020-02-28,1.15,1,9602.78071734738
0.6,0.45,2020-02-28,1.15,1,9107.56845775031
0.61,0.45,2020-02-28,1.15,1,8627.93303052318
0.62,0.45,2020-02-28,1.15,1,8163.81836385518
0.63,0.45,2020-02-28,1.15,1,7715.14275095311
0.64,0.45,2020-02-28,1.15,1,7281.76152253142
0.65,0.45,2020-02-28,1.15,1,6863.52415690305
0.66,0.45,2020-02-28,1.15,1,6460.23883534728
0.67,0.45,2020-02-28,1.15,1,6071.68772577943
0.68,0.45,2020-02-28,1.15,1,5697.63574403316
0.69,0.45,2020-02-28,1.15,1,5337.80526224093
0.7,0.45,2020-02-28,1.15,1,4991.92096389767
0.71,0.45,2020-02-28,1.15,1,4659.6905068265
0.72,0.45,2020-02-28,1.15,1,4340.79574185348
0.73,0.45,2020-02-28,1.15,1,4034.91399116457
0.74,0.45,2020-02-28,1.15,1,3741.71525130537
0.75,0.45,2020-02-28,1.15,1,3460.85979085918
0.76,0.45,2020-02-28,1.15,1,3192.00827337834
0.77,0.45,2020-02-28,1.15,1,2934.81882197205
0.78,0.45,2020-02-28,1.15,1,2688.95047159625
0.79,0.45,2020-02-28,1.15,1,2454.06702441435
0.8,0.45,2020-02-28,1.15,1,2229.83728761696
0.81,0.45,2020-02-28,1.15,1,2015.94035938591
0.82,0.45,2020-02-28,1.15,1,1812.0711135668
0.83,0.45,2020-02-28,1.15,1,1617.93829011904
0.84,0.45,2020-02-28,1.15,1,1433.2743504136
0.85,0.45,2020-02-28,1.15,1,1257.84286293448
0.86,0.45,2020-02-28,1.15,1,1091.44895379111
0.87,0.45,2020-02-28,1.15,1,933.957098481467
0.88,0.45,2020-02-28,1.15,1,785.325629653947
0.89,0.45,2020-02-28,1.15,1,645.670403870202
0.9,0.45,2020-02-28,1.15,1,515.403210917861
0.91,0.45,2020-02-28,1.15,1,395.610861447429
0.92,0.45,2020-02-28,1.15,1,289.450358057009
0.93,0.45,2020-02-28,1.15,1,221.324303269396
0.94,0.45,2020-02-28,1.15,1,189.950665796112
0.95,0.45,2020-02-28,1.15,1,160.071129615789
0.55,0.5,2020-02-28,1.15,1,11739.3392385663
0.56,0.5,2020-02-28,1.15,1,11181.9660300327
0.57,0.5,2020-02-28,1.15,1,10640.0125667599
0.58,0.5,2020-02-28,1.15,1,10113.6026144113
0.59,0.5,2020-02-28,1.15,1,9602.78071734738
0.6,0.5,2020-02-28,1.15,1,9107.56845775031
0.61,0.5,2020-02-28,1.15,1,8627.93303052318
0.62,0.5,2020-02-28,1.15,1,8163.81836385518
0.63,0.5,2020-02-28,1.15,1,7715.14275095311
0.64,0.5,2020-02-28,1.15,1,7281.76152253142
0.65,0.5,2020-02-28,1.15,1,6863.52415690305
0.66,0.5,2020-02-28,1.15,1,6460.23883534728
0.67,0.5,2020-02-28,1.15,1,6071.68772577943
0.68,0.5,2020-02-28,1.15,1,5697.63574403316
0.69,0.5,2020-02-28,1.15,1,5337.80526224093
0.7,0.5,2020-02-28,1.15,1,4991.92096389767
0.71,0.5,2020-02-28,1.15,1,4659.6905068265
0.72,0.5,2020-02-28,1.15,1,4340.79574185348
0.73,0.5,2020-02-28,1.15,1,4034.91399116457
0.74,0.5,2020-02-28,1.15,1,3741.71525130537
0.75,0.5,2020-02-28,1.15,1,3460.85979085918
0.76,0.5,2020-02-28,1.15,1,3192.00827337834
0.77,0.5,2020-02-28,1.15,1,2934.81882197205
0.78,0.5,2020-02-28,1.15,1,2688.95047159625
0.79,0.5,2020-02-28,1.15,1,2454.06702441435
0.8,0.5,2020-02-28,1.15,1,2229.83728761696
0.81,0.5,2020-02-28,1.15,1,2015.94035938591
0.82,0.5,2020-02-28,1.15,1,1812.0711135668
0.83,0.5,2020-02-28,1.15,1,1617.93829011904
0.84,0.5,2020-02-28,1.15,1,1433.2743504136
0.85,0.5,2020-02-28,1.15,1,1257.84286293448
0.86,0.5,2020-02-28,1.15,1,1091.44895379111
0.87,0.5,2020-02-28,1.15,1,933.957098481467
0.88,0.5,2020-02-28,1.15,1,785.325629653947
0.89,0.5,2020-02-28,1.15,1,645.670403870202
0.9,0.5,2020-02-28,1.15,1,515.403210917861
0.91,0.5,2020-02-28,1.15,1,395.610861447429
0.92,0.5,2020-02-28,1.15,1,289.450358057009
0.93,0.5,2020-02-28,1.15,1,221.324303269396
0.94,0.5,2020-02-28,1.15,1,189.950665796112
0.95,0.5,2020-02-28,1.15,1,160.071129615789
0.55,0.55,2020-02-28,1.15,1,11739.3392385663
0.56,0.55,2020-02-28,1.15,1,11181.9660300327
0.57,0.55,2020-02-28,1.15,1,10640.0125667599
0.58,0.55,2020-02-28,1.15,1,10113.6026144113
0.59,0.55,2020-02-28,1.15,1,9602.78071734738
0.6,0.55,2020-02-28,1.15,1,9107.56845775031
0.61,0.55,2020-02-28,1.15,1,8627.93303052318
0.62,0.55,2020-02-28,1.15,1,8163.81836385518
0.63,0.55,2020-02-28,1.15,1,7715.14275095311
0.64,0.55,2020-02-28,1.15,1,7281.76152253142
0.65,0.55,2020-02-28,1.15,1,6863.52415690305
0.66,0.55,2020-02-28,1.15,1,6460.23883534728
0.67,0.55,2020-02-28,1.15,1,6071.68772577943
0.68,0.55,2020-02-28,1.15,1,5697.63574403316
0.69,0.55,2020-02-28,1.15,1,5337.80526224093
0.7,0.55,2020-02-28,1.15,1,4991.92096389767
0.71,0.55,2020-02-28,1.15,1,4659.6905068265
0.72,0.55,2020-02-28,1.15,1,4340.79574185348
0.73,0.55,2020-02-28,1.15,1,4034.91399116457
0.74,0.55,2020-02-28,1.15,1,3741.71525130537
0.75,0.55,2020-02-28,1.15,1,3460.85979085918
0.76,0.55,2020-02-28,1.15,1,3192.00827337834
0.77,0.55,2020-02-28,1.15,1,2934.81882197205
0.78,0.55,2020-02-28,1.15,1,2688.95047159625
0.79,0.55,2020-02-28,1.15,1,2454.06702441435
0.8,0.55,2020-02-28,1.15,1,2229.83728761696
0.81,0.55,2020-02-28,1.15,1,2015.94035938591
0.82,0.55,2020-02-28,1.15,1,1812.0711135668
0.83,0.55,2020-02-28,1.15,1,1617.93829011904
0.84,0.55,2020-02-28,1.15,1,1433.2743504136
0.85,0.55,2020-02-28,1.15,1,1257.84286293448
0.86,0.55,2020-02-28,1.15,1,1091.44895379111
0.87,0.55,2020-02-28,1.15,1,933.957098481467
0.88,0.55,2020-02-28,1.15,1,785.325629653947
0.89,0.55,2020-02-28,1.15,1,645.670403870202
0.9,0.55,2020-02-28,1.15,1,515.403210917861
0.91,0.55,2020-02-28,1.15,1,395.610861447429
0.92,0.55,2020-02-28,1.15,1,289.450358057009
0.93,0.55,2020-02-28,1.15,1,221.324303269396
0.94,0.55,2020-02-28,1.15,1,189.950665796112
0.95,0.55,2020-02-28,1.15,1,160.071129615789
0.55,0.6,2020-02-28,1.15,1,11739.3392385663
0.56,0.6,2020-02-28,1.15,1,11181.9660300327
0.57,0.6,2020-02-28,1.15,1,10640.0125667599
0.58,0.6,2020-02-28,1.15,1,10113.6026144113
0.59,0.6,2020-02-28,1.15,1,9602.78071734738
0.6,0.6,2020-02-28,1.15,1,9107.56845775031
0.61,0.6,2020-02-28,1.15,1,8627.93303052318
0.62,0.6,2020-02-28,1.15,1,8163.81836385518
0.63,0.6,2020-02-28,1.15,1,7715.14275095311
0.64,0.6,2020-02-28,1.15,1,7281.76152253142
0.65,0.6,2020-02-28,1.15,1,6863.52415690305
0.66,0.6,2020-02-28,1.15,1,6460.23883534728
0.67,0.6,2020-02-28,1.15,1,6071.68772577943
0.68,0.6,2020-02-28,1.15,1,5697.63574403316
0.69,0.6,2020-02-28,1.15,1,5337.80526224093
0.7,0.6,2020-02-28,1.15,1,4991.92096389767
0.71,0.6,2020-02-28,1.15,1,4659.6905068265
0.72,0.6,2020-02-28,1.15,1,4340.79574185348
0.73,0.6,2020-02-28,1.15,1,4034.91399116457
0.74,0.6,2020-02-28,1.15,1,3741.71525130537
0.75,0.6,2020-02-28,1.15,1,3460.85979085918
0.76,0.6,2020-02-28,1.15,1,3192.00827337834
0.77,0.6,2020-02-28,1.15,1,2934.81882197205
0.78,0.6,2020-02-28,1.15,1,2688.95047159625
0.79,0.6,2020-02-28,1.15,1,2454.06702441435
0.8,0.6,2020-02-28,1.15,1,2229.83728761696
0.81,0.6,2020-02-28,1.15,1,2015.94035938591
0.82,0.6,2020-02-28,1.15,1,1812.0711135668
0.83,0.6,2020-02-28,1.15,1,1617.93829011904
0.84,0.6,2020-02-28,1.15,1,1433.2743504136
0.85,0.6,2020-02-28,1.15,1,1257.84286293448
0.86,0.6,2020-02-28,1.15,1,1091.44895379111
0.87,0.6,2020-02-28,1.15,1,933.957098481467
0.88,0.6,2020-02-28,1.15,1,785.325629653947
0.89,0.6,2020-02-28,1.15,1,645.670403870202
0.9,0.6,2020-02-28,1.15,1,515.403210917861
0.91,0.6,2020-02-28,1.15,1,395.610861447429
0.92,0.6,2020-02-28,1.15,1,289.450358057009
0.93,0.6,2020-02-28,1.15,1,221.324303269396
0.94,0.6,2020-02-28,1.15,1,189.950665796112
0.95,0.6,2020-02-28,1.15,1,160.071129615789
0.55,0.65,2020-02-28,1.15,1,11739.3392385663
0.56,0.65,2020-02-28,1.15,1,11181.9660300327
0.57,0.65,2020-02-28,1.15,1,10640.0125667599
0.58,0.65,2020-02-28,1.15,1,10113.6026144113
0.59,0.65,2020-02-28,1.15,1,9602.78071734738
0.6,0.65,2020-02-28,1.15,1,9107.56845775031
0.61,0.65,2020-02-28,1.15,1,8627.93303052318
0.62,0.65,2020-02-28,1.15,1,8163.81836385518
0.63,0.65,2020-02-28,1.15,1,7715.14275095311
0.64,0.65,2020-02-28,1.15,1,7281.76152253142
0.65,0.65,2020-02-28,1.15,1,6863.52415690305
0.66,0.65,2020-02-28,1.15,1,6460.23883534728
0.67,0.65,2020-02-28,1.15,1,6071.68772577943
0.68,0.65,2020-02-28,1.15,1,5697.63574403316
0.69,0.65,2020-02-28,1.15,1,5337.80526224093
0.7,0.65,2020-02-28,1.15,1,4991.92096389767
0.71,0.65,2020-02-28,1.15,1,4659.6905068265
0.72,0.65,2020-02-28,1.15,1,4340.79574185348
0.73,0.65,2020-02-28,1.15,1,4034.91399116457
0.74,0.65,2020-02-28,1.15,1,3741.71525130537
0.75,0.65,2020-02-28,1.15,1,3460.85979085918
0.76,0.65,2020-02-28,1.15,1,3192.00827337834
0.77,0.65,2020-02-28,1.15,1,2934.81882197205
0.78,0.65,2020-02-28,1.15,1,2688.95047159625
0.79,0.65,2020-02-28,1.15,1,2454.06702441435
0.8,0.65,2020-02-28,1.15,1,2229.83728761696
0.81,0.65,2020-02-28,1.15,1,2015.94035938591
0.82,0.65,2020-02-28,1.15,1,1812.0711135668
0.83,0.65,2020-02-28,1.15,1,1617.93829011904
0.84,0.65,2020-02-28,1.15,1,1433.2743504136
0.85,0.65,2020-02-28,1.15,1,1257.84286293448
0.86,0.65,2020-02-28,1.15,1,1091.44895379111
0.87,0.65,2020-02-28,1.15,1,933.957098481467
0.88,0.65,2020-02-28,1.15,1,785.325629653947
0.89,0.65,2020-02-28,1.15,1,645.670403870202
0.9,0.65,2020-02-28,1.15,1,515.403210917861
0.91,0.65,2020-02-28,1.15,1,395.610861447429
0.92,0.65,2020-02-28,1.15,1,289.450358057009
0.93,0.65,2020-02-28,1.15,1,221.324303269396
0.94,0.65,2020-02-28,1.15,1,189.950665796112
0.95,0.65,2020-02-28,1.15,1,160.071129615789
0.55,0.7,2020-02-28,1.15,1,11739.3392385663
0.56,0.7,2020-02-28,1.15,1,11181.9660300327
0.57,0.7,2020-02-28,1.15,1,10640.0125667599
0.58,0.7,2020-02-28,1.15,1,10113.6026144113
0.59,0.7,2020-02-28,1.15,1,9602.78071734738
0.6,0.7,2020-02-28,1.15,1,9107.56845775031
0.61,0.7,2020-02-28,1.15,1,8627.93303052318
0.62,0.7,2020-02-28,1.15,1,8163.81836385518
0.63,0.7,2020-02-28,1.15,1,7715.14275095311
0.64,0.7,2020-02-28,1.15,1,7281.76152253142
0.65,0.7,2020-02-28,1.15,1,6863.52415690305
0.66,0.7,2020-02-28,1.15,1,6460.23883534728
0.67,0.7,2020-02-28,1.15,1,6071.68772577943
0.68,0.7,2020-02-28,1.15,1,5697.63574403316
0.69,0.7,2020-02-28,1.15,1,5337.80526224093
0.7,0.7,2020-02-28,1.15,1,4991.92096389767
0.71,0.7,2020-02-28,1.15,1,4659.6905068265
0.72,0.7,2020-02-28,1.15,1,4340.79574185348
0.73,0.7,2020-02-28,1.15,1,4034.91399116457
0.74,0.7,2020-02-28,1.15,1,3741.71525130537
0.75,0.7,2020-02-28,1.15,1,3460.85979085918
0.76,0.7,2020-02-28,1.15,1,3192.00827337834
0.77,0.7,2020-02-28,1.15,1,2934.81882197205
0.78,0.7,2020-02-28,1.15,1,2688.95047159625
0.79,0.7,2020-02-28,1.15,1,2454.06702441435
0.8,0.7,2020-02-28,1.15,1,2229.83728761696
0.81,0.7,2020-02-28,1.15,1,2015.94035938591
0.82,0.7,2020-02-28,1.15,1,1812.0711135668
0.83,0.7,2020-02-28,1.15,1,1617.93829011904
0.84,0.7,2020-02-28,1.15,1,1433.2743504136
0.85,0.7,2020-02-28,1.15,1,1257.84286293448
0.86,0.7,2020-02-28,1.15,1,1091.44895379111
0.87,0.7,2020-02-28,1.15,1,933.957098481467
0.88,0.7,2020-02-28,1.15,1,785.325629653947
0.89,0.7,2020-02-28,1.15,1,645.670403870202
0.9,0.7,2020-02-28,1.15,1,515.403210917861
0.91,0.7,2020-02-28,1.15,1,395.610861447429
0.92,0.7,2020-02-28,1.15,1,289.450358057009
0.93,0.7,2020-02-28,1.15,1,221.324303269396
0.94,0.7,2020-02-28,1.15,1,189.950665796112
0.95,0.7,2020-02-28,1.15,1,160.071129615789
0.55,0.75,2020-02-28,1.15,1,11739.3392385663
0.56,0.75,2020-02-28,1.15,1,11181.9660300327
0.57,0.75,2020-02-28,1.15,1,10640.0125667599
0.58,0.75,2020-02-28,1.15,1,10113.6026144113
0.59,0.75,2020-02-28,1.15,1,9602.78071734738
0.6,0.75,2020-02-28,1.15,1,9107.56845775031
0.61,0.75,2020-02-28,1.15,1,8627.93303052318
0.62,0.75,2020-02-28,1.15,1,8163.81836385518
0.63,0.75,2020-02-28,1.15,1,7715.14275095311
0.64,0.75,2020-02-28,1.15,1,7281.76152253142
0.65,0.75,2020-02-28,1.15,1,6863.52415690305
0.66,0.75,2020-02-28,1.15,1,6460.23883534728
0.67,0.75,2020-02-28,1.15,1,6071.68772577943
0.68,0.75,2020-02-28,1.15,1,5697.63574403316
0.69,0.75,2020-02-28,1.15,1,5337.80526224093
0.7,0.75,2020-02-28,1.15,1,4991.92096389767
0.71,0.75,2020-02-28,1.15,1,4659.6905068265
0.72,0.75,2020-02-28,1.15,1,4340.79574185348
0.73,0.75,2020-02-28,1.15,1,4034.91399116457
0.74,0.75,2020-02-28,1.15,1,3741.71525130537
0.75,0.75,2020-02-28,1.15,1,3460.85979085918
0.76,0.75,2020-02-28,1.15,1,3192.00827337834
0.77,0.75,2020-02-28,1.15,1,2934.81882197205
0.78,0.75,2020-02-28,1.15,1,2688.95047159625
0.79,0.75,2020-02-28,1.15,1,2454.06702441435
0.8,0.75,2020-02-28,1.15,1,2229.83728761696
0.81,0.75,2020-02-28,1.15,1,2015.94035938591
0.82,0.75,2020-02-28,1.15,1,1812.0711135668
0.83,0.75,2020-02-28,1.15,1,1617.93829011904
0.84,0.75,2020-02-28,1.15,1,1433.2743504136
0.85,0.75,2020-02-28,1.15,1,1257.84286293448
0.86,0.75,2020-02-28,1.15,1,1091.44895379111
0.87,0.75,2020-02-28,1.15,1,933.957098481467
0.88,0.75,2020-02-28,1.15,1,785.325629653947
0.89,0.75,2020-02-28,1.15,1,645.670403870202
0.9,0.75,2020-02-28,1.15,1,515.403210917861
0.91,0.75,2020-02-28,1.15,1,395.610861447429
0.92,0.75,2020-02-28,1.15,1,289.450358057009
0.93,0.75,2020-02-28,1.15,1,221.324303269396
0.94,0.75,2020-02-28,1.15,1,189.950665796112
0.95,0.75,2020-02-28,1.15,1,160.071129615789
