"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.56,0.3,0.25,2020-02-28,0.2,3,1.45997062450868
0.57,0.3,0.25,2020-02-28,0.2,3,1.4599938865107
0.58,0.3,0.25,2020-02-28,0.2,3,1.46001719741703
0.59,0.3,0.25,2020-02-28,0.2,3,1.46004055656298
0.6,0.3,0.25,2020-02-28,0.2,3,1.46006396311511
0.61,0.3,0.25,2020-02-28,0.2,3,1.46008741653913
0.62,0.3,0.25,2020-02-28,0.2,3,1.46011091625065
0.63,0.3,0.25,2020-02-28,0.2,3,1.46013446159816
0.64,0.3,0.25,2020-02-28,0.2,3,1.46015805193129
0.65,0.3,0.25,2020-02-28,0.2,3,1.46018168659928
0.66,0.3,0.25,2020-02-28,0.2,3,1.46020536496423
0.67,0.3,0.25,2020-02-28,0.2,3,1.4602291134228
0.68,0.3,0.25,2020-02-28,0.2,3,1.46025287694075
0.69,0.3,0.25,2020-02-28,0.2,3,1.46027668230376
0.7,0.3,0.25,2020-02-28,0.2,3,1.46030052888718
0.71,0.3,0.25,2020-02-28,0.2,3,1.46032441522268
0.72,0.3,0.25,2020-02-28,0.2,3,1.46034834238373
0.73,0.3,0.25,2020-02-28,0.2,3,1.46037230521046
0.74,0.3,0.25,2020-02-28,0.2,3,1.46039631011951
0.75,0.3,0.25,2020-02-28,0.2,3,1.46042035325425
0.76,0.3,0.25,2020-02-28,0.2,3,1.46044443395234
0.77,0.3,0.25,2020-02-28,0.2,3,1.46046855161857
0.78,0.3,0.25,2020-02-28,0.2,3,1.4604927056616
0.79,0.3,0.25,2020-02-28,0.2,3,1.4605168954935
0.8,0.3,0.25,2020-02-28,0.2,3,1.46054112052901
0.81,0.3,0.25,2020-02-28,0.2,3,1.46056538018697
0.82,0.3,0.25,2020-02-28,0.2,3,1.46058967388993
0.83,0.3,0.25,2020-02-28,0.2,3,1.46061400106383
0.84,0.3,0.25,2020-02-28,0.2,3,1.46063836098085
0.85,0.3,0.25,2020-02-28,0.2,3,1.46066275145197
0.86,0.3,0.25,2020-02-28,0.2,3,1.46068717521551
0.87,0.3,0.25,2020-02-28,0.2,3,1.46071163016773
0.88,0.3,0.25,2020-02-28,0.2,3,1.46073610035005
0.89,0.3,0.25,2020-02-28,0.2,3,1.46076061598352
0.9,0.3,0.25,2020-02-28,0.2,3,1.46078516113615
0.91,0.3,0.25,2020-02-28,0.2,3,1.46080973526289
0.92,0.3,0.25,2020-02-28,0.2,3,1.46083433782209
0.93,0.3,0.25,2020-02-28,0.2,3,1.46085896827544
0.94,0.3,0.25,2020-02-28,0.2,3,1.4608836261209
0.95,0.3,0.25,2020-02-28,0.2,3,1.46090831081554
0.55,0.1,0.3,2020-02-28,0.2,3,1.45994741207753
0.56,0.1,0.3,2020-02-28,0.2,3,1.45997062450868
0.57,0.1,0.3,2020-02-28,0.2,3,1.4599938865107
0.58,0.1,0.3,2020-02-28,0.2,3,1.46001719741703
0.59,0.1,0.3,2020-02-28,0.2,3,1.46004055656298
0.6,0.1,0.3,2020-02-28,0.2,3,1.46006396311511
0.61,0.1,0.3,2020-02-28,0.2,3,1.46008741653913
0.62,0.1,0.3,2020-02-28,0.2,3,1.46011091625065
0.63,0.1,0.3,2020-02-28,0.2,3,1.46013446159816
0.64,0.1,0.3,2020-02-28,0.2,3,1.46015805193129
0.65,0.1,0.3,2020-02-28,0.2,3,1.46018168659928
0.66,0.1,0.3,2020-02-28,0.2,3,1.46020536496423
0.67,0.1,0.3,2020-02-28,0.2,3,1.4602291134228
0.68,0.1,0.3,2020-02-28,0.2,3,1.46025287694075
0.69,0.1,0.3,2020-02-28,0.2,3,1.46027668230376
0.7,0.1,0.3,2020-02-28,0.2,3,1.46030052888718
0.71,0.1,0.3,2020-02-28,0.2,3,1.46032441522268
0.72,0.1,0.3,2020-02-28,0.2,3,1.46034834238373
0.73,0.1,0.3,2020-02-28,0.2,3,1.46037230521046
0.74,0.1,0.3,2020-02-28,0.2,3,1.46039631011951
0.75,0.1,0.3,2020-02-28,0.2,3,1.46042035325425
0.76,0.1,0.3,2020-02-28,0.2,3,1.46044443395234
0.77,0.1,0.3,2020-02-28,0.2,3,1.46046855161857
0.78,0.1,0.3,2020-02-28,0.2,3,1.4604927056616
0.79,0.1,0.3,2020-02-28,0.2,3,1.4605168954935
0.8,0.1,0.3,2020-02-28,0.2,3,1.46054112052901
0.81,0.1,0.3,2020-02-28,0.2,3,1.46056538018697
0.82,0.1,0.3,2020-02-28,0.2,3,1.46058967388993
0.83,0.1,0.3,2020-02-28,0.2,3,1.46061400106383
0.84,0.1,0.3,2020-02-28,0.2,3,1.46063836098085
0.85,0.1,0.3,2020-02-28,0.2,3,1.46066275145197
0.86,0.1,0.3,2020-02-28,0.2,3,1.46068717521551
0.87,0.1,0.3,2020-02-28,0.2,3,1.46071163016773
0.88,0.1,0.3,2020-02-28,0.2,3,1.46073610035005
0.89,0.1,0.3,2020-02-28,0.2,3,1.46076061598352
0.9,0.1,0.3,2020-02-28,0.2,3,1.46078516113615
0.91,0.1,0.3,2020-02-28,0.2,3,1.46080973526289
0.92,0.1,0.3,2020-02-28,0.2,3,1.46083433782209
0.93,0.1,0.3,2020-02-28,0.2,3,1.46085896827544
0.94,0.1,0.3,2020-02-28,0.2,3,1.4608836261209
0.95,0.1,0.3,2020-02-28,0.2,3,1.46090831081554
0.55,0.2,0.3,2020-02-28,0.2,3,1.45994741207753
0.56,0.2,0.3,2020-02-28,0.2,3,1.45997062450868
0.57,0.2,0.3,2020-02-28,0.2,3,1.4599938865107
0.58,0.2,0.3,2020-02-28,0.2,3,1.46001719741703
0.59,0.2,0.3,2020-02-28,0.2,3,1.46004055656298
0.6,0.2,0.3,2020-02-28,0.2,3,1.46006396311511
0.61,0.2,0.3,2020-02-28,0.2,3,1.46008741653913
0.62,0.2,0.3,2020-02-28,0.2,3,1.46011091625065
0.63,0.2,0.3,2020-02-28,0.2,3,1.46013446159816
0.64,0.2,0.3,2020-02-28,0.2,3,1.46015805193129
0.65,0.2,0.3,2020-02-28,0.2,3,1.46018168659928
0.66,0.2,0.3,2020-02-28,0.2,3,1.46020536496423
0.67,0.2,0.3,2020-02-28,0.2,3,1.4602291134228
0.68,0.2,0.3,2020-02-28,0.2,3,1.46025287694075
0.69,0.2,0.3,2020-02-28,0.2,3,1.46027668230376
0.7,0.2,0.3,2020-02-28,0.2,3,1.46030052888718
0.71,0.2,0.3,2020-02-28,0.2,3,1.46032441522268
0.72,0.2,0.3,2020-02-28,0.2,3,1.46034834238373
0.73,0.2,0.3,2020-02-28,0.2,3,1.46037230521046
0.74,0.2,0.3,2020-02-28,0.2,3,1.46039631011951
0.75,0.2,0.3,2020-02-28,0.2,3,1.46042035325425
0.76,0.2,0.3,2020-02-28,0.2,3,1.46044443395234
0.77,0.2,0.3,2020-02-28,0.2,3,1.46046855161857
0.78,0.2,0.3,2020-02-28,0.2,3,1.4604927056616
0.79,0.2,0.3,2020-02-28,0.2,3,1.4605168954935
0.8,0.2,0.3,2020-02-28,0.2,3,1.46054112052901
0.81,0.2,0.3,2020-02-28,0.2,3,1.46056538018697
0.82,0.2,0.3,2020-02-28,0.2,3,1.46058967388993
0.83,0.2,0.3,2020-02-28,0.2,3,1.46061400106383
0.84,0.2,0.3,2020-02-28,0.2,3,1.46063836098085
0.85,0.2,0.3,2020-02-28,0.2,3,1.46066275145197
0.86,0.2,0.3,2020-02-28,0.2,3,1.46068717521551
0.87,0.2,0.3,2020-02-28,0.2,3,1.46071163016773
0.88,0.2,0.3,2020-02-28,0.2,3,1.46073610035005
0.89,0.2,0.3,2020-02-28,0.2,3,1.46076061598352
0.9,0.2,0.3,2020-02-28,0.2,3,1.46078516113615
0.91,0.2,0.3,2020-02-28,0.2,3,1.46080973526289
0.92,0.2,0.3,2020-02-28,0.2,3,1.46083433782209
0.93,0.2,0.3,2020-02-28,0.2,3,1.46085896827544
0.94,0.2,0.3,2020-02-28,0.2,3,1.4608836261209
0.95,0.2,0.3,2020-02-28,0.2,3,1.46090831081554
0.55,0.3,0.3,2020-02-28,0.2,3,1.45994741207753
0.56,0.3,0.3,2020-02-28,0.2,3,1.45997062450868
0.57,0.3,0.3,2020-02-28,0.2,3,1.4599938865107
0.58,0.3,0.3,2020-02-28,0.2,3,1.46001719741703
0.59,0.3,0.3,2020-02-28,0.2,3,1.46004055656298
0.6,0.3,0.3,2020-02-28,0.2,3,1.46006396311511
0.61,0.3,0.3,2020-02-28,0.2,3,1.46008741653913
0.62,0.3,0.3,2020-02-28,0.2,3,1.46011091625065
0.63,0.3,0.3,2020-02-28,0.2,3,1.46013446159816
0.64,0.3,0.3,2020-02-28,0.2,3,1.46015805193129
0.65,0.3,0.3,2020-02-28,0.2,3,1.46018168659928
0.66,0.3,0.3,2020-02-28,0.2,3,1.46020536496423
0.67,0.3,0.3,2020-02-28,0.2,3,1.4602291134228
0.68,0.3,0.3,2020-02-28,0.2,3,1.46025287694075
0.69,0.3,0.3,2020-02-28,0.2,3,1.46027668230376
0.7,0.3,0.3,2020-02-28,0.2,3,1.46030052888718
0.71,0.3,0.3,2020-02-28,0.2,3,1.46032441522268
0.72,0.3,0.3,2020-02-28,0.2,3,1.46034834238373
0.73,0.3,0.3,2020-02-28,0.2,3,1.46037230521046
0.74,0.3,0.3,2020-02-28,0.2,3,1.46039631011951
0.75,0.3,0.3,2020-02-28,0.2,3,1.46042035325425
0.76,0.3,0.3,2020-02-28,0.2,3,1.46044443395234
0.77,0.3,0.3,2020-02-28,0.2,3,1.46046855161857
0.78,0.3,0.3,2020-02-28,0.2,3,1.4604927056616
0.79,0.3,0.3,2020-02-28,0.2,3,1.4605168954935
0.8,0.3,0.3,2020-02-28,0.2,3,1.46054112052901
0.81,0.3,0.3,2020-02-28,0.2,3,1.46056538018697
0.82,0.3,0.3,2020-02-28,0.2,3,1.46058967388993
0.83,0.3,0.3,2020-02-28,0.2,3,1.46061400106383
0.84,0.3,0.3,2020-02-28,0.2,3,1.46063836098085
0.85,0.3,0.3,2020-02-28,0.2,3,1.46066275145197
0.86,0.3,0.3,2020-02-28,0.2,3,1.46068717521551
0.87,0.3,0.3,2020-02-28,0.2,3,1.46071163016773
0.88,0.3,0.3,2020-02-28,0.2,3,1.46073610035005
0.89,0.3,0.3,2020-02-28,0.2,3,1.46076061598352
0.9,0.3,0.3,2020-02-28,0.2,3,1.46078516113615
0.91,0.3,0.3,2020-02-28,0.2,3,1.46080973526289
0.92,0.3,0.3,2020-02-28,0.2,3,1.46083433782209
0.93,0.3,0.3,2020-02-28,0.2,3,1.46085896827544
0.94,0.3,0.3,2020-02-28,0.2,3,1.4608836261209
0.95,0.3,0.3,2020-02-28,0.2,3,1.46090831081554
0.55,0.1,0.35,2020-02-28,0.2,3,1.45994741207753
0.56,0.1,0.35,2020-02-28,0.2,3,1.45997062450868
0.57,0.1,0.35,2020-02-28,0.2,3,1.4599938865107
0.58,0.1,0.35,2020-02-28,0.2,3,1.46001719741703
0.59,0.1,0.35,2020-02-28,0.2,3,1.46004055656298
0.6,0.1,0.35,2020-02-28,0.2,3,1.46006396311511
0.61,0.1,0.35,2020-02-28,0.2,3,1.46008741653913
0.62,0.1,0.35,2020-02-28,0.2,3,1.46011091625065
0.63,0.1,0.35,2020-02-28,0.2,3,1.46013446159816
0.64,0.1,0.35,2020-02-28,0.2,3,1.46015805193129
0.65,0.1,0.35,2020-02-28,0.2,3,1.46018168659928
0.66,0.1,0.35,2020-02-28,0.2,3,1.46020536496423
0.67,0.1,0.35,2020-02-28,0.2,3,1.4602291134228
0.68,0.1,0.35,2020-02-28,0.2,3,1.46025287694075
0.69,0.1,0.35,2020-02-28,0.2,3,1.46027668230376
0.7,0.1,0.35,2020-02-28,0.2,3,1.46030052888718
0.71,0.1,0.35,2020-02-28,0.2,3,1.46032441522268
0.72,0.1,0.35,2020-02-28,0.2,3,1.46034834238373
0.73,0.1,0.35,2020-02-28,0.2,3,1.46037230521046
0.74,0.1,0.35,2020-02-28,0.2,3,1.46039631011951
0.75,0.1,0.35,2020-02-28,0.2,3,1.46042035325425
0.76,0.1,0.35,2020-02-28,0.2,3,1.46044443395234
0.77,0.1,0.35,2020-02-28,0.2,3,1.46046855161857
0.78,0.1,0.35,2020-02-28,0.2,3,1.4604927056616
0.79,0.1,0.35,2020-02-28,0.2,3,1.4605168954935
0.8,0.1,0.35,2020-02-28,0.2,3,1.46054112052901
0.81,0.1,0.35,2020-02-28,0.2,3,1.46056538018697
0.82,0.1,0.35,2020-02-28,0.2,3,1.46058967388993
0.83,0.1,0.35,2020-02-28,0.2,3,1.46061400106383
0.84,0.1,0.35,2020-02-28,0.2,3,1.46063836098085
0.85,0.1,0.35,2020-02-28,0.2,3,1.46066275145197
0.86,0.1,0.35,2020-02-28,0.2,3,1.46068717521551
0.87,0.1,0.35,2020-02-28,0.2,3,1.46071163016773
0.88,0.1,0.35,2020-02-28,0.2,3,1.46073610035005
0.89,0.1,0.35,2020-02-28,0.2,3,1.46076061598352
0.9,0.1,0.35,2020-02-28,0.2,3,1.46078516113615
0.91,0.1,0.35,2020-02-28,0.2,3,1.46080973526289
0.92,0.1,0.35,2020-02-28,0.2,3,1.46083433782209
0.93,0.1,0.35,2020-02-28,0.2,3,1.46085896827544
0.94,0.1,0.35,2020-02-28,0.2,3,1.4608836261209
0.95,0.1,0.35,2020-02-28,0.2,3,1.46090831081554
0.55,0.2,0.35,2020-02-28,0.2,3,1.45994741207753
0.56,0.2,0.35,2020-02-28,0.2,3,1.45997062450868
0.57,0.2,0.35,2020-02-28,0.2,3,1.4599938865107
0.58,0.2,0.35,2020-02-28,0.2,3,1.46001719741703
0.59,0.2,0.35,2020-02-28,0.2,3,1.46004055656298
0.6,0.2,0.35,2020-02-28,0.2,3,1.46006396311511
0.61,0.2,0.35,2020-02-28,0.2,3,1.46008741653913
0.62,0.2,0.35,2020-02-28,0.2,3,1.46011091625065
0.63,0.2,0.35,2020-02-28,0.2,3,1.46013446159816
0.64,0.2,0.35,2020-02-28,0.2,3,1.46015805193129
0.65,0.2,0.35,2020-02-28,0.2,3,1.46018168659928
0.66,0.2,0.35,2020-02-28,0.2,3,1.46020536496423
0.67,0.2,0.35,2020-02-28,0.2,3,1.4602291134228
0.68,0.2,0.35,2020-02-28,0.2,3,1.46025287694075
0.69,0.2,0.35,2020-02-28,0.2,3,1.46027668230376
0.7,0.2,0.35,2020-02-28,0.2,3,1.46030052888718
0.71,0.2,0.35,2020-02-28,0.2,3,1.46032441522268
0.72,0.2,0.35,2020-02-28,0.2,3,1.46034834238373
0.73,0.2,0.35,2020-02-28,0.2,3,1.46037230521046
0.74,0.2,0.35,2020-02-28,0.2,3,1.46039631011951
0.75,0.2,0.35,2020-02-28,0.2,3,1.46042035325425
0.76,0.2,0.35,2020-02-28,0.2,3,1.46044443395234
0.77,0.2,0.35,2020-02-28,0.2,3,1.46046855161857
0.78,0.2,0.35,2020-02-28,0.2,3,1.4604927056616
0.79,0.2,0.35,2020-02-28,0.2,3,1.4605168954935
0.8,0.2,0.35,2020-02-28,0.2,3,1.46054112052901
0.81,0.2,0.35,2020-02-28,0.2,3,1.46056538018697
0.82,0.2,0.35,2020-02-28,0.2,3,1.46058967388993
0.83,0.2,0.35,2020-02-28,0.2,3,1.46061400106383
0.84,0.2,0.35,2020-02-28,0.2,3,1.46063836098085
0.85,0.2,0.35,2020-02-28,0.2,3,1.46066275145197
0.86,0.2,0.35,2020-02-28,0.2,3,1.46068717521551
0.87,0.2,0.35,2020-02-28,0.2,3,1.46071163016773
0.88,0.2,0.35,2020-02-28,0.2,3,1.46073610035005
0.89,0.2,0.35,2020-02-28,0.2,3,1.46076061598352
0.9,0.2,0.35,2020-02-28,0.2,3,1.46078516113615
0.91,0.2,0.35,2020-02-28,0.2,3,1.46080973526289
0.92,0.2,0.35,2020-02-28,0.2,3,1.46083433782209
0.93,0.2,0.35,2020-02-28,0.2,3,1.46085896827544
0.94,0.2,0.35,2020-02-28,0.2,3,1.4608836261209
0.95,0.2,0.35,2020-02-28,0.2,3,1.46090831081554
0.55,0.3,0.35,2020-02-28,0.2,3,1.45994741207753
0.56,0.3,0.35,2020-02-28,0.2,3,1.45997062450868
0.57,0.3,0.35,2020-02-28,0.2,3,1.4599938865107
0.58,0.3,0.35,2020-02-28,0.2,3,1.46001719741703
0.59,0.3,0.35,2020-02-28,0.2,3,1.46004055656298
0.6,0.3,0.35,2020-02-28,0.2,3,1.46006396311511
0.61,0.3,0.35,2020-02-28,0.2,3,1.46008741653913
0.62,0.3,0.35,2020-02-28,0.2,3,1.46011091625065
0.63,0.3,0.35,2020-02-28,0.2,3,1.46013446159816
0.64,0.3,0.35,2020-02-28,0.2,3,1.46015805193129
0.65,0.3,0.35,2020-02-28,0.2,3,1.46018168659928
0.66,0.3,0.35,2020-02-28,0.2,3,1.46020536496423
0.67,0.3,0.35,2020-02-28,0.2,3,1.4602291134228
0.68,0.3,0.35,2020-02-28,0.2,3,1.46025287694075
0.69,0.3,0.35,2020-02-28,0.2,3,1.46027668230376
0.7,0.3,0.35,2020-02-28,0.2,3,1.46030052888718
0.71,0.3,0.35,2020-02-28,0.2,3,1.46032441522268
0.72,0.3,0.35,2020-02-28,0.2,3,1.46034834238373
0.73,0.3,0.35,2020-02-28,0.2,3,1.46037230521046
0.74,0.3,0.35,2020-02-28,0.2,3,1.46039631011951
0.75,0.3,0.35,2020-02-28,0.2,3,1.46042035325425
0.76,0.3,0.35,2020-02-28,0.2,3,1.46044443395234
0.77,0.3,0.35,2020-02-28,0.2,3,1.46046855161857
0.78,0.3,0.35,2020-02-28,0.2,3,1.4604927056616
0.79,0.3,0.35,2020-02-28,0.2,3,1.4605168954935
0.8,0.3,0.35,2020-02-28,0.2,3,1.46054112052901
0.81,0.3,0.35,2020-02-28,0.2,3,1.46056538018697
0.82,0.3,0.35,2020-02-28,0.2,3,1.46058967388993
0.83,0.3,0.35,2020-02-28,0.2,3,1.46061400106383
0.84,0.3,0.35,2020-02-28,0.2,3,1.46063836098085
0.85,0.3,0.35,2020-02-28,0.2,3,1.46066275145197
0.86,0.3,0.35,2020-02-28,0.2,3,1.46068717521551
0.87,0.3,0.35,2020-02-28,0.2,3,1.46071163016773
0.88,0.3,0.35,2020-02-28,0.2,3,1.46073610035005
0.89,0.3,0.35,2020-02-28,0.2,3,1.46076061598352
0.9,0.3,0.35,2020-02-28,0.2,3,1.46078516113615
0.91,0.3,0.35,2020-02-28,0.2,3,1.46080973526289
0.92,0.3,0.35,2020-02-28,0.2,3,1.46083433782209
0.93,0.3,0.35,2020-02-28,0.2,3,1.46085896827544
0.94,0.3,0.35,2020-02-28,0.2,3,1.4608836261209
0.95,0.3,0.35,2020-02-28,0.2,3,1.46090831081554
0.55,0.1,0.4,2020-02-28,0.2,3,1.45994741207753
0.56,0.1,0.4,2020-02-28,0.2,3,1.45997062450868
0.57,0.1,0.4,2020-02-28,0.2,3,1.4599938865107
0.58,0.1,0.4,2020-02-28,0.2,3,1.46001719741703
0.59,0.1,0.4,2020-02-28,0.2,3,1.46004055656298
0.6,0.1,0.4,2020-02-28,0.2,3,1.46006396311511
0.61,0.1,0.4,2020-02-28,0.2,3,1.46008741653913
0.62,0.1,0.4,2020-02-28,0.2,3,1.46011091625065
0.63,0.1,0.4,2020-02-28,0.2,3,1.46013446159816
0.64,0.1,0.4,2020-02-28,0.2,3,1.46015805193129
0.65,0.1,0.4,2020-02-28,0.2,3,1.46018168659928
0.66,0.1,0.4,2020-02-28,0.2,3,1.46020536496423
0.67,0.1,0.4,2020-02-28,0.2,3,1.4602291134228
0.68,0.1,0.4,2020-02-28,0.2,3,1.46025287694075
0.69,0.1,0.4,2020-02-28,0.2,3,1.46027668230376
0.7,0.1,0.4,2020-02-28,0.2,3,1.46030052888718
0.71,0.1,0.4,2020-02-28,0.2,3,1.46032441522268
0.72,0.1,0.4,2020-02-28,0.2,3,1.46034834238373
0.73,0.1,0.4,2020-02-28,0.2,3,1.46037230521046
0.74,0.1,0.4,2020-02-28,0.2,3,1.46039631011951
0.75,0.1,0.4,2020-02-28,0.2,3,1.46042035325425
0.76,0.1,0.4,2020-02-28,0.2,3,1.46044443395234
0.77,0.1,0.4,2020-02-28,0.2,3,1.46046855161857
0.78,0.1,0.4,2020-02-28,0.2,3,1.4604927056616
0.79,0.1,0.4,2020-02-28,0.2,3,1.4605168954935
0.8,0.1,0.4,2020-02-28,0.2,3,1.46054112052901
0.81,0.1,0.4,2020-02-28,0.2,3,1.46056538018697
0.82,0.1,0.4,2020-02-28,0.2,3,1.46058967388993
0.83,0.1,0.4,2020-02-28,0.2,3,1.46061400106383
0.84,0.1,0.4,2020-02-28,0.2,3,1.46063836098085
0.85,0.1,0.4,2020-02-28,0.2,3,1.46066275145197
0.86,0.1,0.4,2020-02-28,0.2,3,1.46068717521551
0.87,0.1,0.4,2020-02-28,0.2,3,1.46071163016773
0.88,0.1,0.4,2020-02-28,0.2,3,1.46073610035005
0.89,0.1,0.4,2020-02-28,0.2,3,1.46076061598352
0.9,0.1,0.4,2020-02-28,0.2,3,1.46078516113615
0.91,0.1,0.4,2020-02-28,0.2,3,1.46080973526289
0.92,0.1,0.4,2020-02-28,0.2,3,1.46083433782209
0.93,0.1,0.4,2020-02-28,0.2,3,1.46085896827544
0.94,0.1,0.4,2020-02-28,0.2,3,1.4608836261209
0.95,0.1,0.4,2020-02-28,0.2,3,1.46090831081554
0.55,0.2,0.4,2020-02-28,0.2,3,1.45994741207753
0.56,0.2,0.4,2020-02-28,0.2,3,1.45997062450868
0.57,0.2,0.4,2020-02-28,0.2,3,1.4599938865107
0.58,0.2,0.4,2020-02-28,0.2,3,1.46001719741703
0.59,0.2,0.4,2020-02-28,0.2,3,1.46004055656298
0.6,0.2,0.4,2020-02-28,0.2,3,1.46006396311511
0.61,0.2,0.4,2020-02-28,0.2,3,1.46008741653913
0.62,0.2,0.4,2020-02-28,0.2,3,1.46011091625065
0.63,0.2,0.4,2020-02-28,0.2,3,1.46013446159816
0.64,0.2,0.4,2020-02-28,0.2,3,1.46015805193129
0.65,0.2,0.4,2020-02-28,0.2,3,1.46018168659928
