"region","time","date","period","b1"
"Shelby County, AL",0,2020-02-25,"baseline",0.17
"Shelby County, AL",1,2020-02-26,"baseline",0.17
"Shelby County, AL",2,2020-02-27,"baseline",0.17
"Shelby County, AL",3,2020-02-28,"baseline",0.17
"Shelby County, AL",4,2020-02-29,"baseline",0.17
"Shelby County, AL",5,2020-03-01,"baseline",0.17
"Shelby County, AL",6,2020-03-02,"baseline",0.17
"Shelby County, AL",7,2020-03-03,"baseline",0.17
"Shelby County, AL",8,2020-03-04,"baseline",0.17
"Shelby County, AL",9,2020-03-05,"baseline",0.17
"Shelby County, AL",10,2020-03-06,"baseline",0.17
"Shelby County, AL",11,2020-03-07,"baseline",0.17
"Shelby County, AL",12,2020-03-08,"baseline",0.17
"Shelby County, AL",13,2020-03-09,"baseline",0.17
"Shelby County, AL",14,2020-03-10,"baseline",0.17
"Shelby County, AL",15,2020-03-11,"baseline",0.17
"Shelby County, AL",16,2020-03-12,"baseline",0.17
"Shelby County, AL",17,2020-03-13,"baseline",0.17
"Shelby County, AL",18,2020-03-14,"baseline",0.17
"Shelby County, AL",19,2020-03-15,"baseline",0.17
"Shelby County, AL",20,2020-03-16,"baseline",0.17
"Shelby County, AL",21,2020-03-17,"baseline",0.17
"Shelby County, AL",21,2020-03-17,"step1",0.32
"Shelby County, AL",22,2020-03-18,"step1",0.32
"Shelby County, AL",23,2020-03-19,"step1",0.32
"Shelby County, AL",23,2020-03-19,"step2",0.28
"Shelby County, AL",24,2020-03-20,"step2",0.28
"Shelby County, AL",25,2020-03-21,"step2",0.28
"Shelby County, AL",25,2020-03-21,"step3",0.24
"Shelby County, AL",26,2020-03-22,"step3",0.24
"Shelby County, AL",27,2020-03-23,"step3",0.24
"Shelby County, AL",27,2020-03-23,"step4",0.2
"Shelby County, AL",28,2020-03-24,"step4",0.2
"Shelby County, AL",29,2020-03-25,"step4",0.2
"Shelby County, AL",29,2020-03-25,"step5",0.17
"Shelby County, AL",30,2020-03-26,"step5",0.17
"Shelby County, AL",31,2020-03-27,"step5",0.17
"Shelby County, AL",31,2020-03-27,"step6",0.15
"Shelby County, AL",32,2020-03-28,"step6",0.15
"Shelby County, AL",33,2020-03-29,"step6",0.15
"Shelby County, AL",33,2020-03-29,"step7",0.13
"Shelby County, AL",34,2020-03-30,"step7",0.13
"Shelby County, AL",35,2020-03-31,"step7",0.13
"Shelby County, AL",35,2020-03-31,"step8",0.12
"Shelby County, AL",36,2020-04-01,"step8",0.12
"Shelby County, AL",37,2020-04-02,"step8",0.12
"Shelby County, AL",37,2020-04-02,"step9",0.11
"Shelby County, AL",38,2020-04-03,"step9",0.11
"Shelby County, AL",39,2020-04-04,"step9",0.11
"Shelby County, AL",39,2020-04-04,"step10",0.1
"Shelby County, AL",40,2020-04-05,"step10",0.1
"Shelby County, AL",41,2020-04-06,"step10",0.1
"Shelby County, AL",41,2020-04-06,"step11",0.1
"Shelby County, AL",42,2020-04-07,"step11",0.1
"Shelby County, AL",43,2020-04-08,"step11",0.1
"Shelby County, AL",43,2020-04-08,"step12",0.11
"Shelby County, AL",44,2020-04-09,"step12",0.11
"Shelby County, AL",45,2020-04-10,"step12",0.11
"Shelby County, AL",45,2020-04-10,"step13",0.12
"Shelby County, AL",46,2020-04-11,"step13",0.12
"Shelby County, AL",47,2020-04-12,"step13",0.12
"Shelby County, AL",47,2020-04-12,"step14",0.12
"Shelby County, AL",48,2020-04-13,"step14",0.12
"Shelby County, AL",49,2020-04-14,"step14",0.12
"Shelby County, AL",49,2020-04-14,"step15",0.13
"Shelby County, AL",50,2020-04-15,"step15",0.13
"Shelby County, AL",51,2020-04-16,"step15",0.13
"Shelby County, AL",51,2020-04-16,"step16",0.13
"Shelby County, AL",52,2020-04-17,"step16",0.13
"Shelby County, AL",53,2020-04-18,"step16",0.13
"Shelby County, AL",53,2020-04-18,"step17",0.13
"Shelby County, AL",54,2020-04-19,"step17",0.13
"Shelby County, AL",55,2020-04-20,"step17",0.13
"Shelby County, AL",55,2020-04-20,"step18",0.12
"Shelby County, AL",56,2020-04-21,"step18",0.12
"Shelby County, AL",57,2020-04-22,"step18",0.12
"Shelby County, AL",57,2020-04-22,"step19",0.12
"Shelby County, AL",58,2020-04-23,"step19",0.12
"Shelby County, AL",59,2020-04-24,"step19",0.12
"Shelby County, AL",59,2020-04-24,"step20",0.13
"Shelby County, AL",60,2020-04-25,"step20",0.13
"Shelby County, AL",61,2020-04-26,"step20",0.13
"Shelby County, AL",61,2020-04-26,"step21",0.13
"Shelby County, AL",62,2020-04-27,"step21",0.13
"Shelby County, AL",63,2020-04-28,"step21",0.13
"Shelby County, AL",63,2020-04-28,"step22",0.12
"Shelby County, AL",64,2020-04-29,"step22",0.12
"Shelby County, AL",65,2020-04-30,"step22",0.12
"Shelby County, AL",65,2020-04-30,"step23",0.13
"Shelby County, AL",66,2020-05-01,"step23",0.13
"Shelby County, AL",67,2020-05-02,"step23",0.13
"Shelby County, AL",67,2020-05-02,"step24",0.12
"Shelby County, AL",68,2020-05-03,"step24",0.12
"Shelby County, AL",69,2020-05-04,"step24",0.12
"Shelby County, AL",69,2020-05-04,"step25",0.08
"Shelby County, AL",70,2020-05-05,"step25",0.08
"Shelby County, AL",71,2020-05-06,"step25",0.08
"Shelby County, AL",71,2020-05-06,"step26",0
"Shelby County, AL",72,2020-05-07,"step26",0
"Shelby County, AL",73,2020-05-08,"step26",0
"Shelby County, AL",73,2020-05-08,"step27",0
"Shelby County, AL",74,2020-05-09,"step27",0
"Shelby County, AL",75,2020-05-10,"step27",0
