"region","time","date","period","b1"
"Schenectady County, NY",0,2020-03-06,"baseline",0.47
"Schenectady County, NY",1,2020-03-07,"baseline",0.47
"Schenectady County, NY",2,2020-03-08,"baseline",0.47
"Schenectady County, NY",3,2020-03-09,"baseline",0.47
"Schenectady County, NY",4,2020-03-10,"baseline",0.47
"Schenectady County, NY",5,2020-03-11,"baseline",0.47
"Schenectady County, NY",6,2020-03-12,"baseline",0.47
"Schenectady County, NY",7,2020-03-13,"baseline",0.47
"Schenectady County, NY",8,2020-03-14,"baseline",0.47
"Schenectady County, NY",9,2020-03-15,"baseline",0.47
"Schenectady County, NY",9,2020-03-15,"step1",0.2
"Schenectady County, NY",10,2020-03-16,"step1",0.2
"Schenectady County, NY",11,2020-03-17,"step1",0.2
"Schenectady County, NY",11,2020-03-17,"step2",0.19
"Schenectady County, NY",12,2020-03-18,"step2",0.19
"Schenectady County, NY",13,2020-03-19,"step2",0.19
"Schenectady County, NY",13,2020-03-19,"step3",0.17
"Schenectady County, NY",14,2020-03-20,"step3",0.17
"Schenectady County, NY",15,2020-03-21,"step3",0.17
"Schenectady County, NY",15,2020-03-21,"step4",0.15
"Schenectady County, NY",16,2020-03-22,"step4",0.15
"Schenectady County, NY",17,2020-03-23,"step4",0.15
"Schenectady County, NY",17,2020-03-23,"step5",0.14
"Schenectady County, NY",18,2020-03-24,"step5",0.14
"Schenectady County, NY",19,2020-03-25,"step5",0.14
"Schenectady County, NY",19,2020-03-25,"step6",0.12
"Schenectady County, NY",20,2020-03-26,"step6",0.12
"Schenectady County, NY",21,2020-03-27,"step6",0.12
"Schenectady County, NY",21,2020-03-27,"step7",0.11
"Schenectady County, NY",22,2020-03-28,"step7",0.11
"Schenectady County, NY",23,2020-03-29,"step7",0.11
"Schenectady County, NY",23,2020-03-29,"step8",0.09
"Schenectady County, NY",24,2020-03-30,"step8",0.09
"Schenectady County, NY",25,2020-03-31,"step8",0.09
"Schenectady County, NY",25,2020-03-31,"step9",0.08
"Schenectady County, NY",26,2020-04-01,"step9",0.08
"Schenectady County, NY",27,2020-04-02,"step9",0.08
"Schenectady County, NY",27,2020-04-02,"step10",0.08
"Schenectady County, NY",28,2020-04-03,"step10",0.08
"Schenectady County, NY",29,2020-04-04,"step10",0.08
"Schenectady County, NY",29,2020-04-04,"step11",0.09
"Schenectady County, NY",30,2020-04-05,"step11",0.09
"Schenectady County, NY",31,2020-04-06,"step11",0.09
"Schenectady County, NY",31,2020-04-06,"step12",0.11
"Schenectady County, NY",32,2020-04-07,"step12",0.11
"Schenectady County, NY",33,2020-04-08,"step12",0.11
"Schenectady County, NY",33,2020-04-08,"step13",0.13
"Schenectady County, NY",34,2020-04-09,"step13",0.13
"Schenectady County, NY",35,2020-04-10,"step13",0.13
"Schenectady County, NY",35,2020-04-10,"step14",0.13
"Schenectady County, NY",36,2020-04-11,"step14",0.13
"Schenectady County, NY",37,2020-04-12,"step14",0.13
"Schenectady County, NY",37,2020-04-12,"step15",0.12
"Schenectady County, NY",38,2020-04-13,"step15",0.12
"Schenectady County, NY",39,2020-04-14,"step15",0.12
"Schenectady County, NY",39,2020-04-14,"step16",0.09
"Schenectady County, NY",40,2020-04-15,"step16",0.09
"Schenectady County, NY",41,2020-04-16,"step16",0.09
"Schenectady County, NY",41,2020-04-16,"step17",0.07
"Schenectady County, NY",42,2020-04-17,"step17",0.07
"Schenectady County, NY",43,2020-04-18,"step17",0.07
"Schenectady County, NY",43,2020-04-18,"step18",0.04
"Schenectady County, NY",44,2020-04-19,"step18",0.04
"Schenectady County, NY",45,2020-04-20,"step18",0.04
"Schenectady County, NY",45,2020-04-20,"step19",0.02
"Schenectady County, NY",46,2020-04-21,"step19",0.02
"Schenectady County, NY",47,2020-04-22,"step19",0.02
"Schenectady County, NY",47,2020-04-22,"step20",0.01
"Schenectady County, NY",48,2020-04-23,"step20",0.01
"Schenectady County, NY",49,2020-04-24,"step20",0.01
"Schenectady County, NY",49,2020-04-24,"step21",0
"Schenectady County, NY",50,2020-04-25,"step21",0
"Schenectady County, NY",51,2020-04-26,"step21",0
"Schenectady County, NY",51,2020-04-26,"step22",0
"Schenectady County, NY",52,2020-04-27,"step22",0
"Schenectady County, NY",53,2020-04-28,"step22",0
"Schenectady County, NY",53,2020-04-28,"step23",0
"Schenectady County, NY",54,2020-04-29,"step23",0
"Schenectady County, NY",55,2020-04-30,"step23",0
"Schenectady County, NY",55,2020-04-30,"step24",0
"Schenectady County, NY",56,2020-05-01,"step24",0
"Schenectady County, NY",57,2020-05-02,"step24",0
"Schenectady County, NY",57,2020-05-02,"step25",0
"Schenectady County, NY",58,2020-05-03,"step25",0
"Schenectady County, NY",59,2020-05-04,"step25",0
"Schenectady County, NY",59,2020-05-04,"step26",0
"Schenectady County, NY",60,2020-05-05,"step26",0
"Schenectady County, NY",61,2020-05-06,"step26",0
"Schenectady County, NY",61,2020-05-06,"step27",0
"Schenectady County, NY",62,2020-05-07,"step27",0
"Schenectady County, NY",63,2020-05-08,"step27",0
"Schenectady County, NY",63,2020-05-08,"step28",0
"Schenectady County, NY",64,2020-05-09,"step28",0
"Schenectady County, NY",65,2020-05-10,"step28",0
