"region","time","date","period","b1"
"Monroe County, MI",0,2020-03-16,"baseline",-0.03
"Monroe County, MI",1,2020-03-17,"baseline",-0.03
"Monroe County, MI",2,2020-03-18,"baseline",-0.03
"Monroe County, MI",3,2020-03-19,"baseline",-0.03
"Monroe County, MI",3,2020-03-19,"step1",0.41
"Monroe County, MI",4,2020-03-20,"step1",0.41
"Monroe County, MI",5,2020-03-21,"step1",0.41
"Monroe County, MI",5,2020-03-21,"step2",0.41
"Monroe County, MI",6,2020-03-22,"step2",0.41
"Monroe County, MI",7,2020-03-23,"step2",0.41
"Monroe County, MI",7,2020-03-23,"step3",0.39
"Monroe County, MI",8,2020-03-24,"step3",0.39
"Monroe County, MI",9,2020-03-25,"step3",0.39
"Monroe County, MI",9,2020-03-25,"step4",0.35
"Monroe County, MI",10,2020-03-26,"step4",0.35
"Monroe County, MI",11,2020-03-27,"step4",0.35
"Monroe County, MI",11,2020-03-27,"step5",0.31
"Monroe County, MI",12,2020-03-28,"step5",0.31
"Monroe County, MI",13,2020-03-29,"step5",0.31
"Monroe County, MI",13,2020-03-29,"step6",0.26
"Monroe County, MI",14,2020-03-30,"step6",0.26
"Monroe County, MI",15,2020-03-31,"step6",0.26
"Monroe County, MI",15,2020-03-31,"step7",0.21
"Monroe County, MI",16,2020-04-01,"step7",0.21
"Monroe County, MI",17,2020-04-02,"step7",0.21
"Monroe County, MI",17,2020-04-02,"step8",0.17
"Monroe County, MI",18,2020-04-03,"step8",0.17
"Monroe County, MI",19,2020-04-04,"step8",0.17
"Monroe County, MI",19,2020-04-04,"step9",0.14
"Monroe County, MI",20,2020-04-05,"step9",0.14
"Monroe County, MI",21,2020-04-06,"step9",0.14
"Monroe County, MI",21,2020-04-06,"step10",0.12
"Monroe County, MI",22,2020-04-07,"step10",0.12
"Monroe County, MI",23,2020-04-08,"step10",0.12
"Monroe County, MI",23,2020-04-08,"step11",0.1
"Monroe County, MI",24,2020-04-09,"step11",0.1
"Monroe County, MI",25,2020-04-10,"step11",0.1
"Monroe County, MI",25,2020-04-10,"step12",0.08
"Monroe County, MI",26,2020-04-11,"step12",0.08
"Monroe County, MI",27,2020-04-12,"step12",0.08
"Monroe County, MI",27,2020-04-12,"step13",0.07
"Monroe County, MI",28,2020-04-13,"step13",0.07
"Monroe County, MI",29,2020-04-14,"step13",0.07
"Monroe County, MI",29,2020-04-14,"step14",0.04
"Monroe County, MI",30,2020-04-15,"step14",0.04
"Monroe County, MI",31,2020-04-16,"step14",0.04
"Monroe County, MI",31,2020-04-16,"step15",0.03
"Monroe County, MI",32,2020-04-17,"step15",0.03
"Monroe County, MI",33,2020-04-18,"step15",0.03
"Monroe County, MI",33,2020-04-18,"step16",0.04
"Monroe County, MI",34,2020-04-19,"step16",0.04
"Monroe County, MI",35,2020-04-20,"step16",0.04
"Monroe County, MI",35,2020-04-20,"step17",0.06
"Monroe County, MI",36,2020-04-21,"step17",0.06
"Monroe County, MI",37,2020-04-22,"step17",0.06
"Monroe County, MI",37,2020-04-22,"step18",0.07
"Monroe County, MI",38,2020-04-23,"step18",0.07
"Monroe County, MI",39,2020-04-24,"step18",0.07
"Monroe County, MI",39,2020-04-24,"step19",0.08
"Monroe County, MI",40,2020-04-25,"step19",0.08
"Monroe County, MI",41,2020-04-26,"step19",0.08
"Monroe County, MI",41,2020-04-26,"step20",0.1
"Monroe County, MI",42,2020-04-27,"step20",0.1
"Monroe County, MI",43,2020-04-28,"step20",0.1
"Monroe County, MI",43,2020-04-28,"step21",0.15
"Monroe County, MI",44,2020-04-29,"step21",0.15
"Monroe County, MI",45,2020-04-30,"step21",0.15
"Monroe County, MI",45,2020-04-30,"step22",0.23
"Monroe County, MI",46,2020-05-01,"step22",0.23
"Monroe County, MI",47,2020-05-02,"step22",0.23
"Monroe County, MI",47,2020-05-02,"step23",0.36
"Monroe County, MI",48,2020-05-03,"step23",0.36
"Monroe County, MI",49,2020-05-04,"step23",0.36
"Monroe County, MI",49,2020-05-04,"step24",0.53
"Monroe County, MI",50,2020-05-05,"step24",0.53
"Monroe County, MI",51,2020-05-06,"step24",0.53
"Monroe County, MI",51,2020-05-06,"step25",0.5
"Monroe County, MI",52,2020-05-07,"step25",0.5
"Monroe County, MI",53,2020-05-08,"step25",0.5
"Monroe County, MI",53,2020-05-08,"step26",0
"Monroe County, MI",54,2020-05-09,"step26",0
"Monroe County, MI",55,2020-05-10,"step26",0
